seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,nonrob_prob,nonrob_obj,scenario_probs,scenario_obj
20,0.5,20,0.4,0.5,1,-0.9084553447176954,0.69,-0.9119682258847662,0.664,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,0.5423728813559322,20,0.4,0.5,1,-0.907632391362933,0.6725,-0.9115629558329148,0.638,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,0.5847457627118644,20,0.4,0.5,1,-0.9070952213293954,0.655,-0.911225304496557,0.613,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,0.6271186440677966,20,0.4,0.5,1,-0.9067404821457632,0.61,-0.9109454007306634,0.559,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,0.6694915254237288,20,0.4,0.5,1,-0.9065240579514396,0.555,-0.910738967890541,0.499,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,0.711864406779661,20,0.4,0.5,1,-0.9064838106542789,0.5125,-0.910596096650604,0.444,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,0.7542372881355932,20,0.4,0.5,1,-0.9064124974327348,0.4575,-0.9104747211986555,0.375,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,0.7966101694915254,20,0.4,0.5,1,-0.9063349242537007,0.405,-0.9103711425735656,0.312,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,0.8389830508474576,20,0.4,0.5,1,-0.9062585082891325,0.32,-0.9102813502403019,0.262,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,0.8813559322033898,20,0.4,0.5,1,-0.9061865661605795,0.2675,-0.9102026055319677,0.22,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,0.923728813559322,20,0.4,0.5,1,-0.906123277686611,0.2025,-0.9101350306321404,0.176,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,0.9661016949152542,20,0.4,0.5,1,-0.9060647591284456,0.1775,-0.9100582164628628,0.144,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.0084745762711864,20,0.4,0.5,1,-0.906004846202594,0.1625,-0.9099709914005282,0.131,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.0508474576271185,20,0.4,0.5,1,-0.9059289586182513,0.15,-0.9098663603940311,0.119,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.0932203389830508,20,0.4,0.5,1,-0.9058303087011578,0.13,-0.9097210375765572,0.103,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.1355932203389831,20,0.4,0.5,1,-0.9057195045956635,0.1175,-0.9095142845556458,0.099,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.1779661016949152,20,0.4,0.5,1,-0.9056050299125283,0.115,-0.9092952405049516,0.095,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.2203389830508473,20,0.4,0.5,1,-0.9054534838974524,0.105,-0.9090540541747472,0.089,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.2627118644067796,20,0.4,0.5,1,-0.9052312123098245,0.1,-0.9087416473171489,0.081,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.305084745762712,20,0.4,0.5,1,-0.9048846250048044,0.0875,-0.908269263080158,0.076,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.347457627118644,20,0.4,0.5,1,-0.9043969291659151,0.0825,-0.9076857413818944,0.072,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.3898305084745761,20,0.4,0.5,1,-0.9039024879602868,0.075,-0.9070821439681527,0.07,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.4322033898305084,20,0.4,0.5,1,-0.9033600537873312,0.0725,-0.9065044329299285,0.064,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.4745762711864407,20,0.4,0.5,1,-0.9028691073669609,0.0675,-0.905982061445881,0.058,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.5169491525423728,20,0.4,0.5,1,-0.9024049550065127,0.0625,-0.9054886023622061,0.056,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.559322033898305,20,0.4,0.5,1,-0.901786088197959,0.06,-0.9048895145068936,0.053,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.6016949152542372,20,0.4,0.5,1,-0.9010925474373345,0.06,-0.9042042157624828,0.05,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.6440677966101696,20,0.4,0.5,1,-0.9003304879316211,0.06,-0.9034615245030931,0.05,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.6864406779661016,20,0.4,0.5,1,-0.8994930749032563,0.0575,-0.9026646657098291,0.049,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
20,1.7288135593220337,20,0.4,0.5,1,-0.8986602874958212,0.055,-0.9019029444369581,0.048,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
