,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
24,0,0.6291666666666667,0,0.05,1.0,1,-0.945336660110022,0.06,-0.9128967160656054,0.076,0.00342021
37,10,1.402564102564103,10,0.23,1.5,1,-0.8176988881575116,0.06,-0.8927571923778249,0.062,0.003762002
35,20,1.1,20,0.33,0.75,1,-1.007252767019866,0.055,-0.844688821874628,0.09,0.003817025
35,30,1.1,30,0.2,0.75,1,-0.930050204257586,0.06,-0.8901689598960759,0.044,0.002637906
36,40,1.2512820512820513,40,0.3,0.5,1,-0.9031018129291886,0.055,-0.8758501963950994,0.06,0.002716624
21,50,0.5179166666666667,50,0.25,1.0,1,-0.964608416369044,0.06,-0.9264823116786608,0.056,0.002507523
35,60,1.1,60,0.2,0.75,1,-0.9239344566824113,0.055,-0.8578056381720383,0.066,0.002879067
17,70,0.3695833333333333,70,0.33,1.5,1,-0.927051433618235,0.06,-0.8567935741400479,0.05,0.002692473
13,80,0.22125,80,0.15,1.0,1,-0.9002262799717693,0.06,-0.9158148927765232,0.056,0.002542996
35,90,1.1,90,0.2,0.5,1,-0.8835864157767586,0.06,-0.9035126090512364,0.08,0.002354696
