,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
7,0,0.0215443469003188,0,0.15,1.5,1,-0.9501907995618432,0.155,-0.9162702612103204,0.142,0.003403378
24,10,0.6291666666666667,10,0.23,1.5,1,-0.8298208450683497,0.15,-0.8973348357714231,0.176,0.003762002
18,20,0.4066666666666667,20,0.33,1.5,1,-1.0050777972008316,0.15,-0.8031945463825076,0.164,0.042383171
31,30,0.88875,30,0.2,0.75,1,-0.9293967787903958,0.155,-0.8907928098409092,0.114,0.002637906
35,40,1.1,40,0.35,0.5,1,-0.9028077904571844,0.155,-0.8792891186071774,0.172,0.002846854
16,50,0.3325,50,0.25,1.0,1,-0.9761132737212848,0.155,-0.9225657550503912,0.184,0.002507523
9,60,0.1,60,0.15,1.5,1,-0.9208214561417783,0.155,-0.8577525171977595,0.146,0.003394747
17,70,0.3695833333333333,70,0.23,1.2,1,-0.948485929958537,0.15,-0.8637498857332789,0.172,0.002398205
15,80,0.2954166666666666,80,0.23,1.2,1,-0.9149793641587638,0.14,-0.8789862812655338,0.144,0.002842587
34,90,1.0,90,0.2,0.5,1,-0.8841467283875092,0.145,-0.9035759912592616,0.118,0.002354696
