,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
33,0,0.9629166666666668,0,0.05,1.0,1,-0.9186102485549116,0.14,-0.906346065469849,0.112,0.002238327,0.0,0.0
35,10,1.1,10,0.33,0.5,1,-1.0327054764498085,0.14,-0.8484901042114605,0.212,0.001929314,0.0,0.0
37,20,1.1974358974358976,20,0.3,1.5,1,-0.987511814933818,0.15,-0.8540147048329867,0.216,0.002903706,0.0,0.0
34,30,1.0,30,0.05,1.0,1,-1.0377113701903218,0.15,-0.8944878443841674,0.188,0.002503457,0.0,0.0
33,40,0.9629166666666668,40,0.1,0.75,1,-1.1194925963926068,0.15,-0.8912225755605373,0.18,0.002372857,0.0,0.0
36,50,1.1487179487179489,50,0.25,1.0,1,-0.8889911404221799,0.14,-0.8502317270404376,0.128,0.002299066,0.0,0.0
35,60,1.1,60,0.2,1.5,1,-0.9346878610300076,0.14,-0.8677056360870667,0.188,0.002682978,0.0,0.0
26,70,0.7033333333333334,70,0.05,0.5,1,-0.7924882649038403,0.14,-0.7917543314136049,0.104,0.002479017,0.0,0.0
38,80,1.2461538461538462,80,0.3,0.5,1,-0.9176633156942496,0.15,-0.9573983488768018,0.132,0.003052359,0.0,0.0
31,90,0.88875,90,0.15,0.5,1,-0.9801848573698132,0.14,-0.7995300525918415,0.204,0.002252196,0.0,0.0
