,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
15,0,0.2954166666666666,0,0.05,0.75,1,-0.8522685413669906,0.05,-0.84330538709953,0.044,0.00303101
36,10,1.2512820512820513,10,0.33,0.5,1,-0.978456583899348,0.06,-0.8441975968574353,0.08,0.002556602
26,20,0.7033333333333334,20,0.23,1.5,1,-0.8926621095895425,0.05,-0.7868615699036771,0.032,0.002461692
33,30,0.9629166666666668,30,0.05,1.5,1,-0.983781499274787,0.06,-0.8404339726420198,0.1,0.002619662
22,40,0.555,40,0.33,1.5,1,-1.1555116177766125,0.06,-0.8596312348110551,0.12,0.002541151
37,50,1.402564102564103,50,0.35,0.5,1,-0.8656588068582579,0.06,-0.8404584506848515,0.044,0.00321684
20,60,0.4808333333333333,60,0.05,1.0,1,-0.8641666540552718,0.05,-0.8278505354644876,0.072,0.002429932
17,70,0.3695833333333333,70,0.05,1.0,1,-0.7715034756738578,0.06,-0.8161651182220369,0.092,0.002279422
29,80,0.8145833333333333,80,0.1,0.75,1,-0.9782672470249356,0.06,-0.8964485928265452,0.076,0.003386489
19,90,0.44375,90,0.1,0.5,1,-0.9896012241862522,0.06,-0.8132422618901034,0.072,0.002900951
