,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
19,0,0.2973684210526315,0,0.05,1.0,4,-0.5828538627222867,0.15,-0.5678255408603858,0.174,0.00033107,0.01,0.011,-0.6639957537036318,-0.6626741915961241,-0.8766330911125354,-0.4225221446580903,-0.4231170725113731
18,10,0.2505263157894736,10,0.05,1.0,4,-0.6277584423434199,0.145,-0.6109793375674464,0.161,0.000380941,0.0025,0.002,-0.6837497779154412,-0.6816061303155562,-0.883496145079682,-0.499910490291194,-0.5183768618667371
19,20,0.2973684210526315,20,0.05,1.0,4,-0.6151211387412651,0.12,-0.6359465653132701,0.108,0.00034414,0.0025,0.013,-0.6411830264869944,-0.6428442803209455,-0.867017708363945,-0.5088110105311093,-0.5284158290296074
19,30,0.2973684210526315,30,0.05,1.0,4,-0.5753547118389191,0.1425,-0.5938751147162742,0.135,0.000414831,0.0075,0.01,-0.647511540933676,-0.6419285988338671,-0.8706197605808907,-0.4558025998266819,-0.4701555285016935
19,40,0.2973684210526315,40,0.05,1.0,4,-0.5807388040863752,0.145,-0.5930079295911291,0.135,0.000368001,0.005,0.005,-0.6340602660611261,-0.6308531172668018,-0.8763778635676154,-0.3989228247023078,-0.4691737709216987
19,50,0.2973684210526315,50,0.05,1.0,4,-0.5777743913225032,0.1325,-0.574749986062953,0.137,0.000391341,0.0225,0.013,-0.6267678663816167,-0.6265915860870009,-0.8636218512182754,-0.4521305907547297,-0.4423639609393131
19,60,0.2973684210526315,60,0.05,1.0,4,-0.5911842377651969,0.1425,-0.6210894203259639,0.124,0.000373531,0.0125,0.008,-0.6517922991098593,-0.649976262933837,-0.8680545163829936,-0.4755881470966487,-0.4992451706222681
18,70,0.2505263157894736,70,0.05,1.0,4,-0.6201876965067745,0.1725,-0.592243423630173,0.166,0.000390401,0.0,0.002,-0.6836721940925647,-0.6777194237350895,-0.8738028652761459,-0.4632081585875005,-0.4609250990713261
19,80,0.2973684210526315,80,0.05,1.0,4,-0.6044499019871743,0.13,-0.592454911126418,0.142,0.000386891,0.005,0.008,-0.6445966321539328,-0.6454585198356589,-0.8716331872026877,-0.5031043934423826,-0.4673442723150769
19,90,0.2973684210526315,90,0.05,1.0,4,-0.6004385918475618,0.1425,-0.6079883209505538,0.138,0.000399481,0.0025,0.008,-0.6475310579917875,-0.6483442326183465,-0.8858300768997949,-0.4639472461083804,-0.4850566769873011
