,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
22,0,0.4378947368421052,0,0.05,1.0,4,-0.6057488056185995,0.055,-0.6062419410480098,0.063,0.00033107,0.1125,0.102,-0.5466613251473527,-0.5456533816045122,-0.856500142696178,-0.4868641182486318,-0.4954463844184288
21,10,0.3910526315789473,10,0.05,1.0,4,-0.6396621810538944,0.045,-0.6410767303297489,0.038,0.000380941,0.05,0.07,-0.557815956748719,-0.5553335555453487,-0.866745827862807,-0.540219847586784,-0.5501904925468246
21,20,0.3910526315789473,20,0.05,1.0,4,-0.6245419738014122,0.045,-0.6418589399773622,0.04,0.00034414,0.0375,0.059,-0.565394003888049,-0.5669207961754178,-0.858922617277138,-0.5225356427649505,-0.5422493968143124
22,30,0.4378947368421052,30,0.05,1.0,4,-0.6108468040237564,0.0475,-0.6161035757725357,0.039,0.000414831,0.0925,0.114,-0.5237865890696153,-0.5182573226755629,-0.8589862716336081,-0.5001026006093565,-0.520183363076963
22,40,0.4378947368421052,40,0.05,1.0,4,-0.6075476071205189,0.0425,-0.6229805859844091,0.039,0.000368001,0.125,0.12,-0.5092383087383063,-0.5056038569027903,-0.8595477711910225,-0.4666285640883836,-0.5199320489190087
21,50,0.3910526315789473,50,0.05,1.0,4,-0.5958304261118779,0.055,-0.6032429890366503,0.061,0.000391341,0.0725,0.069,-0.5436618279602644,-0.5430391944393622,-0.8515475172555889,-0.4882432967257404,-0.4901855141478971
22,60,0.4378947368421052,60,0.05,1.0,4,-0.6191270771046343,0.0475,-0.6285048543019003,0.035,0.000373531,0.12,0.126,-0.5385368707833063,-0.5367552086796918,-0.8526753445735227,-0.519564929041677,-0.5344737506694613
21,70,0.3910526315789473,70,0.05,1.0,4,-0.644249085143523,0.0425,-0.6104966244868701,0.069,0.000390401,0.07,0.071,-0.5628558511220859,-0.5578535860713099,-0.8562588896349247,-0.5098107073735804,-0.4941794322589351
21,80,0.3910526315789473,80,0.05,1.0,4,-0.6153392772253916,0.0525,-0.6119692514474426,0.068,0.000386891,0.0525,0.056,-0.5629897769273138,-0.5641612592024391,-0.8619713508389658,-0.5352691297128752,-0.4997796419906502
22,90,0.4378947368421052,90,0.05,1.0,4,-0.6288370496125498,0.0425,-0.636768718634358,0.038,0.000399481,0.1,0.104,-0.5280953538820605,-0.5281586341353809,-0.8624648218130245,-0.523123302957037,-0.5339065379621347
