,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
21,0,0.3910526315789473,0,0.05,1.0,4,-0.5950089108140779,0.0925,-0.6031965682024736,0.087,0.00033107,0.06,0.056,-0.5841554273087997,-0.5831889383405389,-0.8611418090747479,-0.475467644038011,-0.4822219573624541
19,10,0.2973684210526315,10,0.05,1.0,4,-0.638485767571193,0.0975,-0.6272648274462178,0.112,0.000380941,0.01,0.013,-0.6403624570213343,-0.6380904108355588,-0.8770392993528157,-0.5199003394592364,-0.534685306550357
19,20,0.2973684210526315,20,0.05,1.0,4,-0.6151211387412651,0.12,-0.6359465653132701,0.108,0.00034414,0.0025,0.013,-0.6411830264869944,-0.6428442803209455,-0.867017708363945,-0.5088110105311093,-0.5284158290296074
20,30,0.3442105263157894,30,0.05,1.0,4,-0.5894202994828918,0.105,-0.6074858548673103,0.091,0.000414831,0.02,0.023,-0.6049938759957161,-0.5995274169120043,-0.865909127251111,-0.4774258619030291,-0.4933808520336756
20,40,0.3442105263157894,40,0.05,1.0,4,-0.596288874130456,0.0975,-0.6112175612179163,0.087,0.000368001,0.03,0.024,-0.590997948121437,-0.5876868230031776,-0.869557235671345,-0.4313207285061863,-0.4935008107022171
20,50,0.3442105263157894,50,0.05,1.0,4,-0.5837101589731769,0.0875,-0.5935325553772595,0.093,0.000391341,0.0475,0.038,-0.5843114509493553,-0.5839008543543869,-0.8568012405757572,-0.4747648216181733,-0.4740630122449782
20,60,0.3442105263157894,60,0.05,1.0,4,-0.6025622448008472,0.1025,-0.621172076390002,0.09,0.000373531,0.045,0.035,-0.6128260186301179,-0.611056034846627,-0.8620859731196374,-0.4950484408918891,-0.5151155504376281
19,70,0.2973684210526315,70,0.05,1.0,4,-0.631842831167784,0.1025,-0.599151440255545,0.131,0.000390401,0.02,0.019,-0.6418866445343829,-0.6363857275488103,-0.8667791730171763,-0.4892252900813595,-0.4774668393287776
20,80,0.3442105263157894,80,0.05,1.0,4,-0.6183051148067803,0.0725,-0.6090169169198325,0.103,0.000386891,0.015,0.028,-0.6030433245727989,-0.6040957391179674,-0.8666583964317927,-0.5241667386198907,-0.4875196977508824
20,90,0.3442105263157894,90,0.05,1.0,4,-0.6101686078075883,0.095,-0.6238546408542998,0.085,0.000399481,0.0175,0.02,-0.6061002816363859,-0.6066655911834613,-0.8765560803531001,-0.4926435636354351,-0.5099505296382086
