,test_prob,test_obj,0.25_test_obj,0.75_test_obj
0,0.0241,-0.8838703117046229,-0.8883382413426779,-0.8800570000287636
0,0.0334,-0.8849447456263781,-0.8888127835768236,-0.8807590991915113
0,0.0375,-0.8863583658450395,-0.8891111769290672,-0.8852391155516951
0,0.0581,-0.8893422380005178,-0.8922352154692657,-0.8870467463723375
0,0.08489999999999999,-0.8912047130004558,-0.8956789625641209,-0.888804088343299
0,0.10839999999999998,-0.8917038078798504,-0.8965667008331004,-0.8897118351039423
0,0.1263,-0.8925149793924303,-0.8958198420743136,-0.8906592595886555
0,0.1515,-0.8900756977714097,-0.896347527672683,-0.8873237104119008
0,0.1865,-0.8916331536275293,-0.8949480186922587,-0.8879568694175736
0,0.1961,-0.8896313162574577,-0.8908425273345275,-0.8880743020677034
