,test_prob,test_obj,0.25_test_obj,0.75_test_obj
0,0.022,-0.8629826157112372,-0.8658751397081469,-0.8621754479702322
0,0.0314,-0.8651266113612837,-0.8660479423485435,-0.8644932827965811
0,0.043199999999999995,-0.866809702375193,-0.8672560842325121,-0.8664404730190599
0,0.06639999999999999,-0.869739561894216,-0.8694886832183729,-0.8676459997164417
0,0.0974,-0.8714677747303717,-0.8720612994859983,-0.8678394787247579
0,0.1032,-0.8724248346802057,-0.8757875378579769,-0.8680621847514343
0,0.1312,-0.8729344979945702,-0.8757004222436549,-0.8697214016787855
0,0.1518,-0.8727385818741185,-0.876881723027002,-0.8680393332611067
0,0.18159999999999998,-0.8706797889705051,-0.8738717381994955,-0.8659407813676926
0,0.20600000000000002,-0.8724537234353484,-0.8763796804144779,-0.8699531036435268
