,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
27,0,0.7404166666666667,0,0.05,1.5,1,-0.9980879785641064,0.145,-1.030145936547404,0.12,0.000521841,0.0,0.0
34,10,1.0,10,0.25,1.5,1,-0.964345870936709,0.15,-0.9340896869204068,0.154,0.000379101,0.0,0.0
32,20,0.9258333333333334,20,0.35,0.75,1,-0.9518560523857784,0.15,-0.8304300147654277,0.208,0.000411341,0.0,0.0
34,30,1.0,30,0.3,0.5,1,-0.9608461540819768,0.155,-0.8311879533082515,0.17,0.000486241,0.0,0.0
25,40,0.66625,40,0.1,1.0,1,-0.8892176849621306,0.145,-0.8941078773966197,0.17,0.000506232,0.0,0.0
33,50,0.9629166666666668,50,0.3,1.5,1,-0.8947795730279736,0.15,-0.8752521509445931,0.136,0.000528601,0.0,0.0
34,60,1.0,60,0.33,1.0,1,-0.9310464731062156,0.145,-0.8157515515469197,0.204,0.000383422,0.0,0.0
30,70,0.8516666666666667,70,0.23,1.0,1,-0.8780929573766875,0.145,-0.9049060793211076,0.138,0.000356241,0.0,0.0
30,80,0.8516666666666667,80,0.25,1.0,1,-0.9000037032754317,0.15,-0.8860688078121468,0.126,0.000364001,0.0,0.0
30,90,0.8516666666666667,90,0.23,1.5,1,-0.9909899340240048,0.14,-0.9151320021735057,0.196,0.000548811,0.0,0.0
