,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
0,0,1,0,0.2,1,1,-0.9201832761426004,0.02,-0.9107594012521192,0.02,0.000647614,0.0,0.0
0,10,1,10,0.3,1,1,-0.8758484451924918,0.015,-0.8595949956845306,0.006,0.000598795,0.0,0.0
0,20,1,20,0.2,1,1,-0.8251426719452892,0.02,-0.813300207234352,0.006,0.000624976,0.0,0.0
0,30,1,30,0.3,1,1,-0.8706045417043868,0.02,-0.8281989188629351,0.028,0.000606921,0.0,0.0
0,40,1,40,0.15,1,1,-0.8139229468838275,0.045,-0.8547045480714125,0.032,0.000587691,0.0,0.0
0,50,1,50,0.15,1,1,-0.8029161825000766,0.01,-0.8062479055506296,0.004,0.000559588,0.0,0.0
0,60,1,60,0.3,1,1,-0.8217715461930866,0.025,-0.8277136507410395,0.012,0.000553813,0.0,0.0
0,70,1,70,0.3,1,1,-0.8182075998208851,0.035,-0.8432110569117098,0.018,0.000595109,0.0,0.0
0,80,1,80,0.2,1,1,-0.8574524244569602,0.035,-0.9001921130908122,0.026,0.000607207,0.0,0.0
0,90,1,90,0.1,1,1,-0.8475507174787502,0.025,-0.8538718027224129,0.006,0.000588895,0.0,0.0
