,step,Validate_val,Lower_validate,Upper_validate,Probability_violations_validate,Violations_validate,Coverage_validate,Avg_prob_validate,Rho
0,"(0,)",-4.4772969235688675,-6.694127873382224,-0.09691204340854842,[0.02],0.10142958187148281,0.79,0.02,1.0
1,"(100,)",-4.885216364154458,-7.144528441570516,-0.13149286062160215,[0.045],0.5238651601061336,0.72,0.045,1.0
2,"(200,)",-4.919964526870598,-7.179548595402792,-0.13558613643597006,[0.05],0.5992679465049322,0.72,0.05,1.0
3,"(300,)",-4.940326861240811,-7.200671109405048,-0.13725048653773442,[0.055],0.6401228093062444,0.72,0.055,1.0
4,"(400,)",-4.942563021122068,-7.199764873045035,-0.13781539685445932,[0.055],0.6473457258495318,0.72,0.055,1.0
5,"(500,)",-4.9431423951990485,-7.200377511757161,-0.13792276383789837,[0.055],0.6485807348139444,0.72,0.055,1.0
