,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
31,0,2.075,0,0.33,1.0,1,-400.8316858530421,0.06,-400.3987311557165,0.054,0.007730234
32,10,2.2375,10,0.3,1.0,1,-405.48857123272813,0.055,-404.8704392972232,0.062,0.028566585
30,20,1.9125,20,0.5,0.5,1,-401.2660223067383,0.06,-401.0041195172213,0.034,0.008486571
32,30,2.2375,30,0.25,2.0,1,-404.05656271272096,0.06,-403.4451023285867,0.056,0.008153603
30,40,1.9125,40,0.5,0.5,1,-403.1975471597683,0.06,-403.4568438955072,0.114,0.00870276
29,50,1.75,50,0.2,2.0,1,-403.070745759845,0.06,-403.0755997205928,0.066,0.024445756
36,60,2.8875,60,0.4,2.0,1,-402.52290851777354,0.06,-402.31900433714833,0.06,0.007898851
30,70,1.9125,70,0.3,2.0,1,-403.026612249966,0.06,-402.6099017098668,0.074,0.008517343
32,80,2.2375,80,0.33,2.0,1,-406.0174586255671,0.055,-405.8911930116798,0.094,0.008912523
40,90,3.5375,90,0.5,2.0,1,-402.43457890688273,0.06,-401.8081131958314,0.04,0.009399858
