,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
31,0,2.075,0,0.5,1.0,1,-409.58164738099134,0.15,-409.0729893963135,0.166,0.00823308
27,10,1.425,10,0.3,1.0,1,-413.2959097837328,0.15,-412.6048876648619,0.194,0.028566585
30,20,1.9125,20,0.35,2.0,1,-408.1833744083956,0.15,-407.871400752717,0.104,0.008225435
28,30,1.5875,30,0.25,2.0,1,-410.91058092158767,0.145,-410.3274058209544,0.156,0.008153603
27,40,1.425,40,0.3,1.0,1,-408.8523083695813,0.15,-408.8632094331024,0.204,0.008412377
30,50,1.9125,50,0.35,2.0,1,-410.91585490829016,0.15,-410.8452123142919,0.15,0.030151846
30,60,1.9125,60,0.35,2.0,1,-411.7355967706311,0.155,-411.3382700532596,0.204,0.009269709
35,70,2.725,70,0.5,2.0,1,-409.5779446695552,0.15,-408.4875886511409,0.136,0.007915308
30,80,1.9125,80,0.4,2.0,1,-410.4811295939464,0.15,-410.4722964358894,0.182,0.008088781
34,90,2.5625,90,0.5,2.0,1,-411.7717799598805,0.14,-411.15120720421896,0.136,0.009399858
