,target,test_prob,test_obj,0.25_test_obj,0.75_test_obj,mv_prob,mv_obj,0.25_mv_obj,0.75_mv_obj,pre_prob,pre_obj,0.25_pre_obj,0.75_pre_obj,dro_prob,dro_obj,0.25_dro_obj,0.75_dro_obj,nonrob_prob,nonrob_obj,scenario_prob,scenario_obj,0.25_nonrob_obj,0.75_nonrob_obj,0.25_scenario_obj,0.75_scenario_obj
0,0.01,0.0228,-395.70895326671973,-398.2608848866248,-393.92673026182126,0.026600000000000002,-383.937454114744,-385.358986736229,-381.44871735073104,0.0264,-388.71151526904686,-392.24326755593245,-388.3616422185446,1.0,-143882968.8239202,-230119854.52627593,-407.32148056017127,1.0,-428.6051606582749,0.44726418758364506,-395.2581110035936,-428.83083494757466,-428.5759598689736,-397.442960088825,-393.73197262811425
0,0.02,0.037000000000000005,-398.1273434845149,-399.6092522620439,-396.33400715020827,0.03480000000000001,-385.76654999422516,-388.1138569542241,-383.74291225756144,0.037,-391.2548410319417,-393.4710800929453,-389.51897280015487,1.0,-143882968.8239202,-230119854.52627593,-407.32148056017127,1.0,-428.6051606582749,0.44726418758364506,-395.2581110035936,-428.83083494757466,-428.5759598689736,-397.442960088825,-393.73197262811425
0,0.03,0.048,-398.97701631302357,-400.53555282490055,-397.6487545497301,0.041,-387.239759965491,-390.0538720735018,-385.4445743145976,0.0432,-392.4373951520758,-394.4610401999237,-391.17960992558767,1.0,-143882968.8239202,-230119854.52627593,-407.32148056017127,1.0,-428.6051606582749,0.44726418758364506,-395.2581110035936,-428.83083494757466,-428.5759598689736,-397.442960088825,-393.73197262811425
0,0.04,0.0538,-400.737572449063,-401.8182786225659,-399.26106616786757,0.055400000000000005,-389.72484910578436,-391.2624799314197,-389.2870541663997,0.053000000000000005,-393.71443307892025,-395.9545954110924,-393.11421966674556,1.0,-143882968.8239202,-230119854.52627593,-407.32148056017127,1.0,-428.6051606582749,0.44726418758364506,-395.2581110035936,-428.83083494757466,-428.5759598689736,-397.442960088825,-393.73197262811425
0,0.05,0.07039999999999999,-402.5243801255998,-403.4944155565253,-400.58742886669927,0.075,-392.3354525563401,-394.0488498875703,-390.84515815978125,0.06720000000000001,-395.1983178824448,-397.4297355529012,-394.54858258117537,1.0,-143882968.8239202,-230119854.52627593,-407.32148056017127,1.0,-428.6051606582749,0.44726418758364506,-395.2581110035936,-428.83083494757466,-428.5759598689736,-397.442960088825,-393.73197262811425
0,0.08,0.0974,-405.489796902027,-407.041673680259,-404.1843445413724,0.0988,-394.9479167673451,-395.3309245104833,-393.8309104153939,0.0968,-397.72891512729564,-398.63447490158137,-396.8266435142516,1.0,-143882968.8239202,-230119854.52627593,-407.32148056017127,1.0,-428.6051606582749,0.44726418758364506,-395.2581110035936,-428.83083494757466,-428.5759598689736,-397.442960088825,-393.73197262811425
0,0.09,0.10880000000000001,-405.88269298934824,-407.77870284416707,-404.4564423476751,0.1046,-395.51093697001807,-396.1577564194874,-394.70911126815264,0.0996,-397.96131252497696,-399.4899708485372,-396.8266435142516,1.0,-143882968.8239202,-230119854.52627593,-407.32148056017127,1.0,-428.6051606582749,0.44726418758364506,-395.2581110035936,-428.83083494757466,-428.5759598689736,-397.442960088825,-393.73197262811425
0,0.1,0.11600000000000002,-406.51775714117696,-408.72337084453056,-404.3745678408424,0.11420000000000001,-396.47613183749206,-397.2918046413259,-396.0731280600418,0.11740000000000002,-399.09467059865426,-400.6592524417853,-397.94100553202327,1.0,-143882968.8239202,-230119854.52627593,-407.32148056017127,1.0,-428.6051606582749,0.44726418758364506,-395.2581110035936,-428.83083494757466,-428.5759598689736,-397.442960088825,-393.73197262811425
0,0.12,0.1372,-407.2499972987433,-407.7827351631619,-406.492516674464,0.13320000000000004,-397.5409097967357,-398.24140804072374,-397.04674050196627,0.14120000000000002,-400.24175607093457,-401.821151125017,-399.05536758735275,1.0,-143882968.8239202,-230119854.52627593,-407.32148056017127,1.0,-428.6051606582749,0.44726418758364506,-395.2581110035936,-428.83083494757466,-428.5759598689736,-397.442960088825,-393.73197262811425
0,0.14,0.1548,-408.6334836083186,-409.35164776266396,-407.2218157123483,0.1548,-399.09523474765683,-399.7602949129532,-398.96525555292874,0.16299999999999998,-401.2556065376474,-402.14677172443123,-400.23530988155557,1.0,-143882968.8239202,-230119854.52627593,-407.32148056017127,1.0,-428.6051606582749,0.44726418758364506,-395.2581110035936,-428.83083494757466,-428.5759598689736,-397.442960088825,-393.73197262811425
0,0.15,0.16140000000000002,-409.2678371696955,-410.81132972334,-407.8226161960928,0.16199999999999998,-399.5749139680255,-400.1404926482436,-399.27060170018854,0.17179999999999998,-401.61457225296726,-402.9351318703199,-400.365502031736,1.0,-143882968.8239202,-230119854.52627593,-407.32148056017127,1.0,-428.6051606582749,0.44726418758364506,-395.2581110035936,-428.83083494757466,-428.5759598689736,-397.442960088825,-393.73197262811425
0,0.18,0.18939999999999999,-409.9149478451121,-411.7046741582381,-408.2992990971198,0.1858,-400.89482325634447,-401.51570294386846,-400.10911452570934,0.205,-402.8729212439333,-404.1890093812461,-401.47226755662984,1.0,-143882968.8239202,-230119854.52627593,-407.32148056017127,1.0,-428.6051606582749,0.44726418758364506,-395.2581110035936,-428.83083494757466,-428.5759598689736,-397.442960088825,-393.73197262811425
0,0.2,0.2162,-411.05955097609103,-412.6384103866692,-409.3426906470167,0.2044,-401.7908611153142,-402.6601157088817,-400.9476274453027,0.2186,-403.4461305871296,-404.55702459145715,-402.3686107165415,1.0,-143882968.8239202,-230119854.52627593,-407.32148056017127,1.0,-428.6051606582749,0.44726418758364506,-395.2581110035936,-428.83083494757466,-428.5759598689736,-397.442960088825,-393.73197262811425
