,mean_eta,mean_init_rho,mean_valid_obj,mean_valid_prob,mean_test_obj,mean_test_prob,mean_time,0.25_eta,0.25_init_rho,0.25_valid_obj,0.25_valid_prob,0.25_test_obj,0.25_test_prob,0.25_time,0.75_eta,0.75_init_rho,0.75_valid_obj,0.75_valid_prob,0.75_test_obj,0.75_test_prob,0.75_time
0,0.1,1.0,-364.7100930882843,0.38627999999999996,-364.566513462606,0.39092,0.0087546906,0.1,1.0,-415.2370665748892,0.0,-414.8658226747703,0.0,0.008262532,0.1,1.0,-317.9933924082193,0.9425,-317.98046884242694,0.9255,0.009211893
1,0.2,1.0,-385.9871043218401,0.3971,-385.74801526463,0.39928800000000003,0.009909483200000001,0.2,1.0,-421.78395894523203,0.0,-421.1425789435768,0.0,0.007746674,0.2,1.0,-353.961391171177,0.95375,-354.26480074375746,0.947,0.008424495
2,0.25,1.0,-392.445074627772,0.40468,-392.2543870983837,0.40628800000000004,0.0080181496,0.25,1.0,-421.95342725603814,0.005,-421.5590229544303,0.0,0.0076822,0.25,1.0,-366.48257316137926,0.965,-366.2658638992374,0.9515,0.00827646
3,0.3,1.0,-397.0946779285811,0.414,-396.94700572111265,0.41548,0.011502722,0.3,1.0,-421.26969665721913,0.005,-420.7563182707198,0.006,0.007967924,0.3,1.0,-376.01921777936354,0.96875,-376.03582261232003,0.9495,0.010576095
4,0.33,1.0,-398.5621647551117,0.42416000000000004,-398.38878639836184,0.425176,0.0081881884,0.33,1.0,-422.3142457785933,0.00625,-421.70036041533916,0.0085,0.00749235,0.33,1.0,-377.3292935745337,0.95875,-377.2986269960594,0.957,0.008648471
5,0.35,1.0,-398.8302967997017,0.42428,-398.5716599692592,0.421888,0.0111565376,0.35,1.0,-422.5497560039828,0.01,-422.1656176787554,0.008,0.008491842,0.35,1.0,-378.0355447979609,0.96,-378.01785384064027,0.9475,0.010664281
6,0.4,1.0,-400.8357926608728,0.4289,-400.6633823127718,0.429416,0.0119748938,0.4,1.0,-421.88979349817976,0.01125,-421.4803603868516,0.01,0.00959923,0.4,1.0,-381.79192795091,0.96375,-382.05316439517725,0.9635,0.00987126
7,0.5,1.0,-404.4158381639533,0.44004000000000004,-404.18201120231686,0.43960000000000005,0.008935406,0.5,1.0,-422.8872667185491,0.015,-422.54633029312515,0.01,0.00826323,0.5,1.0,-388.42111229388536,0.96875,-388.60764182285516,0.9664999999999999,0.00988736
