,step,Lagrangian_val,Train_val,Probability_violations_train,Violations_train,Avg_prob_train,A_norm,lam_list,mu,alpha,alphagrad,gradnorm,Rho
0,0,-2.6311220042050008,-4.654748414481924,[0.04],0.664410578606204,0.04,34.289299269092155,[1.66441058],1,0.0,tensor(-1.5812),"[np.float64(0.6136624199953791), np.float64(9.131995783165918), np.float64(0.0), np.float64(2.424619603530999)]",1.0
1,1,-1.9006280765065178,-4.692333034824574,[0.03],0.8994626148761754,0.03,34.26594900662437,[1.66441058],1,9.999999936756496e-05,tensor(2.1793),"[np.float64(0.6135045221022715), np.float64(9.13198908144027), np.float64(0.0003999999748945653), np.float64(2.4244789655765286)]",1.0
2,2,-1.9118533405395193,-4.695978488413158,[0.03],0.9020971429980579,0.03,34.2322018506239,[1.66441058],1,7.90960839670654e-05,tensor(2.1815),"[np.float64(0.6133653826507256), np.float64(9.131992952472237), np.float64(0.00068358536114932), np.float64(2.4243379134876837)]",1.0
3,3,-1.923321902610103,-4.699726908404962,[0.03],0.9045843939575492,0.03,34.19792647066564,[1.66441058],1,2.6312888696944026e-05,tensor(2.1836),"[np.float64(0.6132303319563905), np.float64(9.132000694341855), np.float64(0.0010019614164316485), np.float64(2.4241929056061746)]",1.0
4,4,-1.9345541348045274,-4.703516872066825,[0.03],0.907137938241873,0.03,34.163415117321996,[1.66441058],1,-4.125897283473165e-05,tensor(-6.2360),"[np.float64(0.6130971870509074), np.float64(9.132010132997257), np.float64(0.0013402245059758327), np.float64(2.424045909464681)]",1.0
5,5,-1.9461168594445446,-4.707327754477972,[0.03],0.9095459426212591,0.03,34.12877672727852,[1.66441058],1,-2.6979506169142116e-05,tensor(-6.2418),"[np.float64(0.6129651899074163), np.float64(9.132020293653659), np.float64(0.001690240343474464), np.float64(2.423897735615599)]",1.0
6,6,-1.9577482931637504,-4.711149788312454,[0.03],0.9119137192742428,0.03,34.09406766528119,[1.66441058],1,1.5975731921361493e-05,tensor(2.1899),"[np.float64(0.6128339915280745), np.float64(9.132030670964786), np.float64(0.00204776783894063), np.float64(2.4237487963049125)]",1.0
7,7,-1.9692059124241255,-4.714977365673593,[0.03],0.9143366944570941,0.03,34.05932261584606,[1.66441058],1,4.143920426814909e-05,tensor(2.1919),"[np.float64(0.6127034067784258), np.float64(9.132040976852442), np.float64(0.002410404727254312), np.float64(2.4235993315115634)]",1.0
8,8,-1.9800276758225586,-4.7187542086128795,[0.035],0.9169940294554549,0.035,34.0245655784876,[1.66441058],1,5.270301631383154e-05,tensor(2.1297),"[np.float64(0.612573330032737), np.float64(9.132051035053001), np.float64(0.002776677879391618), np.float64(2.4234494948018765)]",1.0
9,9,-1.990061892443218,-4.722467133092696,[0.035],0.919895089430998,0.035,33.99006410628519,[1.66441058],1,5.249200913501634e-05,tensor(2.1321),"[np.float64(0.6124443248821495), np.float64(9.132059104772198), np.float64(0.0031429723595907304), np.float64(2.4233004644641074)]",1.0
