,mean_Rho,mean_Test_val,mean_Avg_prob_test,mean_Validate_val,mean_Avg_prob_validate,0.25_Rho,0.25_Test_val,0.25_Avg_prob_test,0.25_Validate_val,0.25_Avg_prob_validate,0.75_Rho,0.75_Test_val,0.75_Avg_prob_test,0.75_Validate_val,0.75_Avg_prob_validate
0,0.00015,-428.2490960957574,1.0,-428.8250683332011,1.0,0.00015,-428.8995040782913,1.0,-429.4768442593461,1.0,0.00015,-427.75515937377827,1.0,-428.3313706636877,1.0
1,0.0047434164902525,-428.18548446527404,1.0,-428.7614378703194,1.0,0.0047434164902525,-428.8407053158127,1.0,-429.41771486566336,1.0,0.0047434164902525,-427.69183366477387,1.0,-428.26865014086036,1.0
2,0.15,-426.1740680202559,0.9994,-426.7474229433395,0.998,0.15,-426.82192386644,0.9984999999999999,-427.39574536989437,0.995,0.15,-425.688333768746,1.0,-426.2614972852923,1.0
3,0.1575,-426.0702129814291,0.999,-426.64343381174683,0.998,0.1575,-426.710519357243,0.998,-427.28385852068806,0.995,0.1575,-425.58700893285277,1.0,-426.1600444286303,1.0
4,0.3071052631578947,-423.9985781797618,0.9872,-424.5691243812151,0.9855,0.3071052631578947,-424.65592456072466,0.986,-425.2260545278012,0.98125,0.3071052631578947,-423.5658419069996,0.9895,-424.13632472555537,0.99
5,0.4567105263157895,-421.9269432652528,0.9554,-422.4948147925435,0.9465,0.4567105263157895,-422.6062988701495,0.9544999999999999,-423.17392673859666,0.93625,0.4567105263157895,-421.5446748636131,0.96,-422.1126048119211,0.95
6,0.6063157894736841,-419.85530835616146,0.8981999999999999,-420.4205052246142,0.8965,0.6063157894736841,-420.58065830024907,0.894,-421.14578018769544,0.885,0.6063157894736841,-419.5235078517519,0.9055,-420.08888497304554,0.9137500000000001
7,0.755921052631579,-417.78367344482683,0.8231999999999999,-418.3461956642197,0.8230000000000001,0.755921052631579,-418.54976375862645,0.812,-419.11192653484886,0.81,0.755921052631579,-417.45078566799526,0.831,-418.01204382517415,0.8412499999999999
8,0.9055263157894736,-415.7120384771275,0.7404,-416.27188603874765,0.731,0.9055263157894736,-416.52125088187836,0.723,-417.0805477331503,0.715,0.9055263157894736,-415.20673463632,0.7565,-415.76487758246463,0.74
9,1.0551315789473683,-413.64040353951697,0.648,-414.19757644447674,0.6385,1.0551315789473683,-414.4927380933601,0.6285000000000001,-415.04916899580087,0.6125,1.0551315789473683,-412.9626837501948,0.664,-413.51771150073677,0.655
10,1.204736842105263,-411.5687685950863,0.5578000000000001,-412.12326684788025,0.5465,1.204736842105263,-412.46422527503876,0.5325,-413.0177902372886,0.53625,1.204736842105263,-410.71863289302973,0.566,-411.2705454237784,0.56375
11,1.354342105263158,-409.4971336954937,0.4638,-410.0489572983324,0.46699999999999997,1.354342105263158,-410.43571255826595,0.442,-410.9864115638887,0.445,1.354342105263158,-408.4691775496482,0.467,-409.01797267627853,0.49
12,1.503947368421053,-407.4254988014476,0.3872,-407.97464774107823,0.3935,1.503947368421053,-408.41152280998637,0.368,-408.9601713044418,0.38,1.503947368421053,-406.2001610983137,0.3835,-406.7458100666199,0.41125
13,1.6535526315789475,-405.35386391121955,0.3234,-405.90033819939987,0.32199999999999995,1.6535526315789475,-406.3979866695935,0.2985,-406.94381472163747,0.29874999999999996,1.6535526315789475,-403.9311445578838,0.3335,-404.47364740337326,0.34375
14,1.803157894736842,-403.28222900428347,0.2672,-403.8260286349058,0.2575,1.803157894736842,-404.3844505255996,0.2435,-404.9274581291219,0.23,1.803157894736842,-401.73662160334305,0.267,-402.27806734969283,0.275
15,1.9527631578947369,-401.2105940651466,0.215,-401.7517190333197,0.209,1.9527631578947369,-402.3709143064141,0.2015,-402.91110146537153,0.18375,1.9527631578947369,-399.585459538994,0.2255,-400.1267067819,0.23
16,2.1023684210526317,-399.13895904589924,0.1732,-399.67740936184794,0.16899999999999998,2.1023684210526317,-400.3573779678916,0.159,-400.8947446949421,0.15125,2.1023684210526317,-397.4849218784483,0.186,-398.02370214841505,0.1925
17,2.2519736842105265,-397.0673241946757,0.1416,-397.6030998634975,0.1355,2.2519736842105265,-398.3438420544734,0.123,-398.87838834464577,0.12125,2.2519736842105265,-395.38438424693027,0.1535,-395.92069752611826,0.15875
18,2.4015789473684213,-394.99568927173334,0.11379999999999998,-395.5287902814482,0.1025,2.4015789473684213,-396.33030577953735,0.091,-396.8620316134334,0.09625,2.4015789473684213,-393.28384668212874,0.1295,-393.8176929772158,0.12375
19,2.551184210526316,-392.9240543659156,0.089,-393.4544807161078,0.078,2.551184210526316,-394.31676961868703,0.075,-394.84567499526486,0.058750000000000004,2.551184210526316,-391.1833092026164,0.106,-391.7146885106006,0.10124999999999999
20,2.7007894736842104,-390.85241942590204,0.07339999999999999,-391.380171120188,0.064,2.7007894736842104,-392.30323347142536,0.0645,-392.8293184042441,0.04625,2.7007894736842104,-389.0827715615464,0.0875,-389.61168388554205,0.08125
21,2.850394736842105,-388.78078448776364,0.058199999999999995,-389.30586152440736,0.046,2.850394736842105,-390.28969734035155,0.044000000000000004,-390.8129618225113,0.036250000000000004,2.850394736842105,-386.9822339174134,0.072,-387.5086792558782,0.055
22,3.0,-386.70914957788193,0.043,-387.2315519590657,0.034999999999999996,3.0,-388.27616119938557,0.0335,-388.7966052522107,0.03,3.0,-384.8816963115281,0.0555,-385.4056746623493,0.03875
