,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
14,0,1.2021052631578948,0,0.2,0.5,1.5,-396.4521759126335,0.05,-395.6235503479623,0.074,0.00913907,0.2,0.214,-399.4781582082284,-399.07548175395607,-399.0754819895259,-395.6671621148224,-395.623550235864
15,10,1.301842105263158,10,0.1,2.0,1.5,-400.24057030160793,0.05,-400.240570307218,0.082,0.008408177,0.145,0.154,-403.16261049149296,-402.53080019960345,-402.5308003504332,-400.2405702756759,-400.2405702717605
16,20,1.401578947368421,20,0.15,2.0,1.5,-399.0198938464142,0.05,-398.0596660388312,0.044,0.008864779,0.275,0.258,-400.42617388289386,-400.28565215044625,-400.2856523526902,-398.1102041016498,-398.0596658353281
16,30,1.401578947368421,30,0.2,0.5,1.5,-396.4296673697771,0.05,-394.66969471251787,0.066,0.008434449,0.15,0.158,-398.1475994724955,-398.0219723795679,-398.0219725443041,-394.7623248463417,-394.6696946991657
20,40,1.8005263157894738,40,0.2,1.0,1.5,-397.9740336505173,0.05,-398.12108534941905,0.06,0.007497676,0.41,0.412,-400.6599600543556,-400.9363777049243,-400.93637781743433,-397.9740336086663,-397.9950409930834
18,50,1.6010526315789475,50,0.15,1.0,1.5,-396.6309426864885,0.045,-396.15091203526856,0.034,0.007395207,0.285,0.272,-399.3493510286252,-399.4349880902378,-399.4349882272169,-396.1761767930832,-396.1509120212265
25,60,2.261111111111111,60,0.2,2.0,1.5,-396.7459048203606,0.05,-396.25689620733806,0.062,0.008795248,0.41,0.406,-401.42392592436704,-401.14750816397554,-401.1475083793744,-396.282633148911,-396.2568957558921
17,70,1.5013157894736844,70,0.2,1.0,1.5,-398.406936772483,0.05,-399.5284276242883,0.078,0.008186796,0.225,0.24,-401.8971229866636,-401.7339697623685,-401.73396995161335,-398.4069367400229,-398.42982431807127
17,80,1.5013157894736844,80,0.2,1.0,1.5,-395.33518622503016,0.05,-395.4289003829674,0.054,0.029107693,0.15,0.138,-397.8811360506505,-397.9438762654441,-397.9438764595218,-395.33518598465054,-395.36004897675866
23,90,2.05,90,0.2,2.0,1.5,-391.2938822246711,0.05,-393.49370571599246,0.066,0.007568287,0.545,0.528,-399.2546967810083,-399.7197118181905,-399.719712091924,-391.2938821158995,-391.60814271136337
