seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
70,0.0001,70,0.05,1,4,0.3078644773569985,0.245,0.3473387752908358,0.262,0.002259931,0.0,0.0,0.5029329870353196,0.5544121133031062,-0.8965357370637956
70,0.00021544346900318845,70,0.05,1,4,0.3078644768788342,0.245,0.34733877539056573,0.262,0.002259931,0.0,0.0,0.5029329854682763,0.5544121129749248,-0.8965357373595136
70,0.00046415888336127773,70,0.05,1,4,0.30786447692577257,0.245,0.3473387735525589,0.262,0.002259931,0.0,0.0,0.5029329862334064,0.5544121111571314,-0.8965357362019063
70,0.001,70,0.05,1,4,0.30786447630133434,0.245,0.34733877445559863,0.262,0.002259931,0.0,0.0,0.5029329850389795,0.5544121125689121,-0.8965357332314177
70,0.002154434690031882,70,0.05,1,4,0.30786447747134826,0.24,0.3473387758935103,0.258,0.002259931,0.0,0.0,0.5029329866581284,0.5544121143829793,-0.8887045750662302
70,0.004641588833612777,70,0.05,1,4,0.3078644774458323,0.235,0.34733877524062445,0.256,0.002259931,0.0,0.0,0.5029329858468956,0.5544121137377904,-0.8869501226474518
70,0.01,70,0.05,1,4,0.3078644721369559,0.225,0.34733877057881324,0.246,0.002259931,0.0,0.0,0.5029329798219206,0.5544121081298944,-0.8833422772176093
70,0.021544346900318822,70,0.05,1,4,0.20381895851676074,0.19,0.2649145256409776,0.208,0.002259931,0.0,0.0,0.4286208369367189,0.4878784917658441,-0.8888156332783682
70,0.046415888336127774,70,0.05,1,4,0.07947927620771718,0.155,0.12123006642339718,0.156,0.002259931,0.0,0.0,0.2939731282984075,0.318977500152562,-0.8776657875744245
70,0.1,70,0.05,1,4,-0.21306053045921097,0.07,-0.18433883250663335,0.076,0.002259931,0.0,0.0,-0.050011865371594105,0.00838053397907635,-0.8778976174032883
70,0.11,70,0.05,1,4,-0.2604244073784642,0.06,-0.23800013259525987,0.06,0.002259931,0.0,0.0,-0.10212074370640706,-0.06265485564559027,-0.8778131399771975
70,0.17357142857142857,70,0.05,1,4,-0.4165986548174909,0.02,-0.45135095416682874,0.016,0.002259931,0.0,0.0,-0.3141967388177459,-0.36127042872146103,-0.8754001980030174
70,0.23714285714285716,70,0.05,1,4,-0.4756363678603514,0.01,-0.5209841301733238,0.004,0.002259931,0.0,0.0,-0.39403654201375,-0.4500327511819022,-0.8731987094455812
70,0.3007142857142857,70,0.05,1,4,-0.49766412615324723,0.005,-0.5398293035249072,0.0,0.002259931,0.0,0.0,-0.42169498186374466,-0.47392907816542706,-0.871580378461903
70,0.36428571428571427,70,0.05,1,4,-0.5105063266046062,0.005,-0.5481977082681907,0.0,0.002259931,0.0,0.0,-0.43507631286645726,-0.48359219356869637,-0.8704784991404586
70,0.4278571428571428,70,0.05,1,4,-0.5184292941318863,0.0,-0.5542046170114078,0.0,0.002259931,0.0,0.0,-0.44303132407052076,-0.4905814000004642,-0.8692987296395586
70,0.49142857142857144,70,0.05,1,4,-0.5233761890012625,0.0,-0.5583560412657915,0.0,0.002259931,0.0,0.0,-0.44844768759216536,-0.495296859747556,-0.8684114616834979
