,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
9,0,1.218487394957983,0,0.4,0.75,1,-0.9179825907212568,0.1425,-0.9208890559667928,0.116
8,10,1.138655462184874,10,0.35,1.2,1,-0.9216901247244244,0.1425,-0.9261891413289142,0.137
8,20,1.138655462184874,20,0.33,1.0,1,-0.920898168743096,0.1575,-0.92197957932648,0.144
8,30,1.138655462184874,30,0.45,1.0,1,-0.9242566120647322,0.14,-0.9245875095352308,0.159
9,40,1.218487394957983,40,0.4,1.0,1,-0.9296519297622732,0.1575,-0.9270350886015876,0.156
10,50,1.2983193277310925,50,0.45,1.2,1,-0.9361959274960536,0.1575,-0.9274986276940856,0.153
8,60,1.138655462184874,60,0.35,1.0,1,-0.9239060242122148,0.1425,-0.9229892655399208,0.202
8,70,1.138655462184874,70,0.45,1.0,1,-0.9208094508550024,0.1525,-0.9187844378477836,0.142
10,80,1.2983193277310925,80,0.4,1.0,1,-0.9188830627830926,0.145,-0.9234596009854148,0.119
8,90,1.138655462184874,90,0.33,0.75,1,-0.9267513876179516,0.15,-0.923233140285118,0.148
