seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
0,0.0001,0,0.08,10,4,0.31903656701863303,0.15,0.21478357777454166,0.143,0.002685385,0.0,0.0,0.404982126623887,0.30491949554958436,-0.9362501961844157
0,0.00021544346900318845,0,0.08,10,4,0.322536893087707,0.155,0.2177477406370577,0.143,0.002685385,0.0,0.0,0.40938576296607315,0.3088261535116617,-0.9362634095086471
0,0.00046415888336127773,0,0.08,10,4,0.32406659208087685,0.155,0.21914805836296197,0.143,0.002685385,0.0,0.0,0.41131022380158716,0.3107337772978937,-0.9362691837721322
0,0.001,0,0.08,10,4,0.3251554850489271,0.155,0.21985956671135884,0.141,0.002685385,0.0,0.0,0.4121886188211036,0.31160448920029565,-0.9362718196716214
0,0.002154434690031882,0,0.08,10,4,0.3143343726192137,0.1475,0.19867109457635967,0.131,0.002685385,0.0,0.0,0.40712515801409255,0.29142214016584556,-0.933663449848737
0,0.004641588833612777,0,0.08,10,4,0.31073864614556035,0.135,0.19239545425553692,0.121,0.002685385,0.0,0.0,0.4059720274236637,0.28903611311565003,-0.9283778441783247
0,0.01,0,0.08,10,4,0.2679696025826549,0.1175,0.1721607532126566,0.108,0.002685385,0.0,0.0,0.3725992822411473,0.2644128599303303,-0.9200306894116766
0,0.021544346900318822,0,0.08,10,4,0.1741060017697947,0.0925,0.1002300083056268,0.079,0.002685385,0.0,0.0,0.281171811166195,0.1960011336265167,-0.9160473343512372
0,0.046415888336127774,0,0.08,10,4,-0.04714275826251729,0.0425,-0.12644300195949593,0.038,0.002685385,0.0,0.0,0.029710443681804054,-0.05840515245506624,-0.8939898872783205
0,0.1,0,0.08,10,4,-0.3476719114935943,0.005,-0.3910165122857616,0.005,0.002685385,0.0,0.0,-0.30209533191249377,-0.34998520581692644,-0.8776403469745624
0,0.11,0,0.08,10,4,-0.38357901820095175,0.0025,-0.4200395511370991,0.004,0.002685385,0.0,0.0,-0.34104647678403716,-0.3830844785972677,-0.8754577489512079
0,0.17357142857142857,0,0.08,10,4,-0.5175713502641668,0.0,-0.5241464720630522,0.0,0.002685385,0.0,0.0,-0.488607353542508,-0.4979197522862167,-0.8652158112833946
0,0.23714285714285716,0,0.08,10,4,-0.5777756127579067,0.0,-0.5680535637059617,0.0,0.002685385,0.0,0.0,-0.5574520052301618,-0.5475246343952758,-0.8601165663130373
0,0.3007142857142857,0,0.08,10,4,-0.6103543864863914,0.0,-0.5943380721350543,0.0,0.002685385,0.0,0.0,-0.5925356637381016,-0.5770111083748406,-0.8574898542556507
0,0.36428571428571427,0,0.08,10,4,-0.6240648434427783,0.0,-0.6069496682788387,0.0,0.002685385,0.0,0.0,-0.6083950746107646,-0.5912853153499454,-0.8555662328501722
0,0.4278571428571428,0,0.08,10,4,-0.6330340898666938,0.0,-0.6161475835376334,0.0,0.002685385,0.0,0.0,-0.617586250747763,-0.6011479312647355,-0.8543349697001322
0,0.49142857142857144,0,0.08,10,4,-0.6386948823076082,0.0,-0.6229112385825367,0.0,0.002685385,0.0,0.0,-0.6238974911962545,-0.6081674246655228,-0.8534461188264681
0,0.555,0,0.08,10,4,-0.6426145087624763,0.0,-0.627965422867436,0.0,0.002685385,0.0075,0.012,-0.6289714415403155,-0.6136513672606805,-0.8527644664460967
0,0.6185714285714285,0,0.08,10,4,-0.6451363653836509,0.0,-0.6316235453692716,0.0,0.002685385,0.04,0.047,-0.632061999072685,-0.617640065369906,-0.8522361315355902
0,0.6821428571428572,0,0.08,10,4,-0.6467519088343938,0.0,-0.6342245864708376,0.0,0.002685385,0.14,0.118,-0.6342345690824197,-0.6206222482543391,-0.8517736659610352
0,0.7457142857142857,0,0.08,10,4,-0.6480409048704742,0.0,-0.6362750983759212,0.0,0.002685385,0.255,0.235,-0.6357860058753759,-0.6230793854863075,-0.8513760156991677
0,0.8092857142857143,0,0.08,10,4,-0.648512227808879,0.0,-0.6378997619366616,0.0,0.002685385,0.37,0.351,-0.6368992893543062,-0.6250286224030213,-0.8510255678046006
0,0.8728571428571429,0,0.08,10,4,-0.6486948543211777,0.0,-0.6392431359051245,0.0,0.002685385,0.48,0.444,-0.6378681052751767,-0.6265896554470602,-0.8507610043971813
