,test_prob,test_obj,0.25_test_obj,0.75_test_obj
0,0.004399999999999999,-0.7761999025079088,-0.7744574347778564,-0.7668398446956728
0,0.0246,-0.781967715786912,-0.7838406121454409,-0.7767900117237719
0,0.0268,-0.7850142817864909,-0.7925901399792644,-0.7767900117237719
0,0.0524,-0.787744338379307,-0.7935239404278379,-0.7864890314616011
0,0.07560000000000001,-0.7923025329215093,-0.7974179197077372,-0.7851176976473705
0,0.0942,-0.7941277945398054,-0.7998038206431349,-0.7888371533007332
0,0.10800000000000001,-0.7954222152125859,-0.8020475705852314,-0.7896969677574446
0,0.1448,-0.8019190041896429,-0.8061557815350027,-0.7989721989297722
0,0.17240000000000003,-0.8002277511462996,-0.803645258391902,-0.7956175917618116
0,0.1888,-0.8052080117948929,-0.8124102526184384,-0.8014476787229255
