,mean_eta,mean_rho,mean_valid_obj,mean_valid_prob,mean_test_obj,mean_test_prob,mean_nonrob_prob,mean_nonrob_obj,mean_scenario_probs,mean_scenario_obj,0.25_eta,0.25_rho,0.25_valid_obj,0.25_valid_prob,0.25_test_obj,0.25_test_prob,0.25_nonrob_prob,0.25_nonrob_obj,0.25_scenario_probs,0.25_scenario_obj,0.75_eta,0.75_rho,0.75_valid_obj,0.75_valid_prob,0.75_test_obj,0.75_test_prob,0.75_nonrob_prob,0.75_nonrob_obj,0.75_scenario_probs,0.75_scenario_obj
0,0.01,0.9507035597633562,-0.7987421142936943,0.0125,-0.7911597165531756,0.012199999999999999,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.01,0.7955017276250126,-0.8149550523307696,0.005,-0.8099563460461522,0.009,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.01,1.090385290765095,-0.7798760905914479,0.0125,-0.7690868301463827,0.013,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
1,0.05,0.9879708939224349,-0.7883051480663276,0.0315,-0.7878877775474262,0.037,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.05,0.9754678822773812,-0.7965337390896885,0.0225,-0.7921484649580407,0.032,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.05,0.9980414540549444,-0.7817324711511094,0.0325,-0.7834742387651205,0.038,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
2,0.08,0.981850427428931,-0.7925974494176662,0.0505,-0.7909954418447258,0.046799999999999994,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.08,0.9697322118632892,-0.7963445657562801,0.0425,-0.7910973200798272,0.036,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.08,0.984205532495713,-0.7904750964136781,0.0525,-0.7898867485694929,0.06,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
3,0.1,0.9824031822961334,-0.789679407145865,0.0505,-0.7888149795490795,0.0516,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.1,0.9690296681937092,-0.7934460911659107,0.0375,-0.7911522539056723,0.043,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.1,0.993574100276328,-0.7885381907660707,0.0575,-0.7870634487458622,0.06,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
4,0.12,0.9785000961692163,-0.7909737086950618,0.056499999999999995,-0.7920190268401665,0.05620000000000001,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.12,0.9630083607291148,-0.7968040437705521,0.04,-0.797834030154904,0.047,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.12,1.0025105049349048,-0.7846013523643219,0.0675,-0.7868911800444159,0.07,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
5,0.15,0.9856822821309947,-0.7891953739979451,0.0635,-0.7909808532897196,0.060399999999999995,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.15,0.9669801210438006,-0.7965319488048296,0.0575,-0.7978432116431942,0.048,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.15,0.9974096148155016,-0.7839017101215572,0.0725,-0.7855752344316211,0.076,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
6,0.18,0.9831644602398031,-0.7936097104521666,0.07649999999999998,-0.7934859159780936,0.07139999999999999,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.18,0.9757653725172458,-0.797715757919608,0.0725,-0.7963272489461501,0.059,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.18,0.9921678381802684,-0.7873714542761028,0.0875,-0.7876067891162833,0.087,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
7,0.2,0.9873255908669568,-0.7928387515507476,0.08199999999999999,-0.7932815352677818,0.0772,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.2,0.9793403320675542,-0.7981969559918209,0.0825,-0.7975244911552531,0.073,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.2,0.9922586076981568,-0.7864355760974487,0.0875,-0.7884351280713636,0.081,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
8,0.23,0.9831599595733082,-0.7946339361141815,0.0915,-0.7942712189755646,0.086,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.23,0.978392911399371,-0.7995006671104208,0.0825,-0.7978662781618366,0.076,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.23,0.9885017036782404,-0.7889906612929505,0.105,-0.7919804839901521,0.098,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
9,0.25,0.9780660239353907,-0.7939556780510988,0.0945,-0.7939592330803577,0.093,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.25,0.9741602455688058,-0.7939475599139927,0.09,-0.7943797435157529,0.082,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.25,0.9803498849722986,-0.7902694804433014,0.1025,-0.7898973091633973,0.107,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
