,mean_eta,mean_rho,mean_valid_obj,mean_valid_prob,mean_test_obj,mean_test_prob,mean_nonrob_prob,mean_nonrob_obj,mean_scenario_probs,mean_scenario_obj,0.25_eta,0.25_rho,0.25_valid_obj,0.25_valid_prob,0.25_test_obj,0.25_test_prob,0.25_nonrob_prob,0.25_nonrob_obj,0.25_scenario_probs,0.25_scenario_obj,0.75_eta,0.75_rho,0.75_valid_obj,0.75_valid_prob,0.75_test_obj,0.75_test_prob,0.75_nonrob_prob,0.75_nonrob_obj,0.75_scenario_probs,0.75_scenario_obj
0,0.01,2.1033581044596055,-0.7837221183848502,0.016,-0.7875943436060094,0.0158,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.01,0.6961717571320549,-0.8008744753240109,0.005,-0.7970603284054674,0.017,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.01,2.7274489739572068,-0.7691133620401257,0.025,-0.7791932597214049,0.022,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
1,0.05,0.8932543994056223,-0.7879654440262376,0.0495,-0.786017561085098,0.0436,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.05,0.8752262213576291,-0.7956822876791125,0.035,-0.787847859745231,0.037,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.05,0.9066093977090898,-0.7821725803410879,0.0625,-0.7821999814471969,0.046,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
2,0.08,0.9236677997315225,-0.7881689526996262,0.056999999999999995,-0.787818838280125,0.0534,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.08,0.9230407498145196,-0.7922460202932681,0.045,-0.78976614351432,0.051,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.08,0.927318687139117,-0.7862795124074029,0.0575,-0.7848103971546982,0.06,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
3,0.1,0.9421872154636546,-0.7913384890644086,0.065,-0.7899832416883876,0.0624,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.1,0.9175242302375232,-0.7949990446634027,0.0575,-0.7944131206274965,0.054,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.1,0.96205625669086,-0.7889408152800553,0.07,-0.7856871533722235,0.07,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
4,0.12,0.9490941623332821,-0.7923942839216093,0.063,-0.7927180187689362,0.0708,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.12,0.9339354135748904,-0.7977939138468156,0.0475,-0.7958445821335578,0.063,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.12,0.9572276376209607,-0.7885144531897084,0.07,-0.7908815606000746,0.081,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
5,0.15,0.9547008638981147,-0.7897615324866953,0.078,-0.7892025116764622,0.08220000000000001,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.15,0.9467991253960348,-0.7916718458409825,0.065,-0.789388458105012,0.076,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.15,0.9577299055368628,-0.7827455101434905,0.09,-0.784391891797875,0.084,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
6,0.18,0.9675623811659403,-0.7926869832161193,0.09,-0.7931188549443394,0.0908,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.18,0.9639074071267868,-0.793850931654755,0.0775,-0.7935909330986892,0.079,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.18,0.9685130541910152,-0.7886264083411507,0.1075,-0.7888291608753832,0.109,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
7,0.2,0.9577548685665234,-0.7953650473777436,0.0935,-0.7956996318364267,0.1012,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.2,0.950135742607627,-0.7986517543075895,0.0925,-0.8002011278470988,0.087,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.2,0.9633568697109186,-0.7930417843884876,0.1025,-0.7918228145381647,0.105,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
8,0.23,0.9677385827570832,-0.7947969127533399,0.11200000000000002,-0.7960427109752279,0.1062,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.23,0.963712029694464,-0.7970490076031288,0.1075,-0.7985687500990535,0.097,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.23,0.9697864556494382,-0.7907915262572679,0.115,-0.7936204939344663,0.112,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
9,0.25,0.9661118170352552,-0.7928147105942518,0.123,-0.7924163008498845,0.11739999999999999,0.6007525146743032,-0.8004554038446111,0.1298865380463895,-0.7710450447028439,0.25,0.9622859852682812,-0.7934074190497347,0.12,-0.7936224680521886,0.099,0.589731231452618,-0.8095550565770813,0.1221013680994565,-0.779548284431735,0.25,0.9648432339740894,-0.7905544876900052,0.1325,-0.7899638426625204,0.128,0.6113726837374724,-0.7911536899145599,0.1288145934289129,-0.7670416353885584
