,mean_eta,mean_init_rho,mean_valid_obj,mean_valid_prob,mean_test_obj,mean_test_prob,0.25_eta,0.25_init_rho,0.25_valid_obj,0.25_valid_prob,0.25_test_obj,0.25_test_prob,0.75_eta,0.75_init_rho,0.75_valid_obj,0.75_valid_prob,0.75_test_obj,0.75_test_prob
0,0.05,1.0,-0.8148197813626392,0.05821666666666667,-0.809058309583023,0.06209833333333333,0.05,1.0,-0.8213350027229394,0.015,-0.8243707848604394,0.02,0.05,1.0,-0.8030576369576864,0.07,-0.7931023608996302,0.072
1,0.1,1.0,-0.8182328745365358,0.0905125,-0.8186245451637163,0.09080333333333333,0.1,1.0,-0.8239548406751998,0.015,-0.8281200915498831,0.02,0.1,1.0,-0.8068812747454869,0.10625,-0.8127204701600369,0.108
2,0.15,1.0,-0.8199504853661427,0.12039583333333333,-0.8187000423046094,0.12400666666666665,0.15,1.0,-0.8240642976276721,0.01375,-0.822684536466446,0.014,0.15,1.0,-0.8146833759650496,0.145,-0.8122611334379666,0.1525
3,0.2,1.0,-0.8205221063535365,0.17516666666666666,-0.8237802031911621,0.18146833333333334,0.2,1.0,-0.8272359755685592,0.03,-0.8349348958851803,0.026,0.2,1.0,-0.8111121634746926,0.24625,-0.8139426326531078,0.2645
4,0.23,1.0,-0.8254911347007806,0.22530416666666667,-0.8246052623991122,0.22016666666666665,0.23,1.0,-0.8364583058027218,0.05,-0.8360386391904939,0.04,0.23,1.0,-0.814196635207469,0.335,-0.811915886614871,0.3245
5,0.25,1.0,-0.8205885728912989,0.22027916666666664,-0.824522973513064,0.22327999999999998,0.25,1.0,-0.8293888584151371,0.045,-0.8347653622750926,0.042,0.25,1.0,-0.8117059907908434,0.335,-0.816547879329987,0.3385
6,0.3,1.0,-0.8251795216766956,0.3024708333333333,-0.8228042006604126,0.30382333333333333,0.3,1.0,-0.8330688440899123,0.075,-0.838230686094284,0.082,0.3,1.0,-0.808465068141228,0.48,-0.8086428586565118,0.4725
7,0.33,1.0,-0.822281547754789,0.2867208333333333,-0.8251859691058364,0.28858833333333334,0.33,1.0,-0.8307355662090596,0.08875,-0.8413859952497922,0.084,0.33,1.0,-0.8094983019548206,0.46,-0.8115518485994304,0.4505
8,0.35,1.0,-0.8241787816681868,0.262075,-0.8265835834020421,0.26713333333333333,0.35,1.0,-0.8424600525489625,0.03,-0.834798121997692,0.036,0.35,1.0,-0.8060824437675409,0.425,-0.8133967702003672,0.4365
