,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
33,0,0.9629166666666668,0,0.25,1.2,1,-0.991003881654849,0.1,-1.0080217187009433,0.088,0.000424109
34,10,1.0,10,0.2,1.2,1,-1.0081494712853596,0.105,-0.9435394961040492,0.068,0.000525468
25,20,0.66625,20,0.05,0.5,1,-0.923033182121351,0.11,-0.7694189913837066,0.144,0.000573278
32,30,0.9258333333333334,30,0.05,1.2,1,-0.9485318016488828,0.095,-0.8386517695589223,0.14,0.000397469
34,40,1.0,40,0.23,1.0,1,-0.8640791172202288,0.105,-0.9061806943498644,0.114,0.000527909
35,50,1.1,50,0.23,1.5,1,-0.868670394092275,0.095,-0.873699514849409,0.096,0.000509539
31,60,0.88875,60,0.23,1.0,1,-0.909761035007194,0.095,-0.7655747327382648,0.146,0.000396098
29,70,0.8145833333333333,70,0.1,0.75,1,-0.8608058500532857,0.11,-0.8277815607488553,0.142,0.000483078
35,80,1.1,80,0.23,1.5,1,-0.8841873604434256,0.105,-0.9309049406869347,0.076,0.000386089
27,90,0.7404166666666667,90,0.2,0.5,1,-0.949498211293606,0.1,-0.803419408706987,0.156,0.000329519
