,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
0,0,1,0,0.4,1,1,-0.991329788232541,0.055,-0.9649150228861476,0.08,0.0003272,0.0,0.0
0,10,1,10,0.15,1,1,-0.893288365593546,0.02,-0.8514723792573186,0.008,0.000358121,0.0,0.0
0,20,1,20,0.3,1,1,-0.8994557076627242,0.015,-0.8369645481460263,0.028,0.00038089,0.0,0.0
0,30,1,30,0.3,1,1,-0.9880293440768844,0.065,-0.8397236644885955,0.102,0.00034233,0.0,0.0
0,40,1,40,0.2,1,1,-0.8123826330932414,0.06,-0.8541139173758253,0.044,0.00042298,0.0,0.0
0,50,1,50,0.1,1,1,-0.939861757458414,0.07,-0.9227252409370932,0.07,0.00032164,0.0,0.0
0,60,1,60,0.3,1,1,-0.818116153632328,0.02,-0.8207070114932321,0.006,0.00037512,0.0,0.0
0,70,1,70,0.1,1,1,-0.7477219344003041,0.03,-0.7701169043325883,0.032,0.000380901,0.0,0.0
0,80,1,80,0.3,1,1,-0.7916010509559654,0.035,-0.8105976611023611,0.026,0.000372251,0.0,0.0
0,90,1,90,0.3,1,1,-0.8550708578447751,0.02,-0.8284819973180801,0.024,0.0004589,0.0,0.0
