seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
90,0.0001,90,0.1,1,1,-0.8471675815370309,0.11,-0.9480790412188607,0.116
90,0.0001438449888287663,90,0.1,1,1,-0.8471675785185075,0.11,-0.9480790366974995,0.116
90,0.00020691380811147902,90,0.1,1,1,-0.8471675784028346,0.11,-0.948079037194282,0.116
90,0.00029763514416313193,90,0.1,1,1,-0.847167577739365,0.11,-0.9480790359014708,0.116
90,0.00042813323987193956,90,0.1,1,1,-0.8471675793247673,0.11,-0.9480790345912974,0.116
90,0.0006158482110660267,90,0.1,1,1,-0.8471675800335692,0.11,-0.9480790369180059,0.116
90,0.0008858667904100822,90,0.1,1,1,-0.8483644813710681,0.11,-0.949321650283586,0.116
90,0.0012742749857031334,90,0.1,1,1,-0.8511484896686662,0.11,-0.9522119821323886,0.116
90,0.0018329807108324356,90,0.1,1,1,-0.8525679481619934,0.11,-0.9536856479064626,0.116
90,0.0026366508987303583,90,0.1,1,1,-0.8534350275302316,0.11,-0.9545858418184084,0.116
90,0.00379269019073225,90,0.1,1,1,-0.8540029054989651,0.11,-0.9551754093451819,0.116
90,0.005455594781168515,90,0.1,1,1,-0.8543884019697164,0.11,-0.9555756262542896,0.116
90,0.007847599703514606,90,0.1,1,1,-0.8526963053265229,0.11,-0.9562324329230691,0.108
90,0.011288378916846883,90,0.1,1,1,-0.8499141418124736,0.11,-0.9567855912004944,0.104
90,0.01623776739188721,90,0.1,1,1,-0.8406486925534642,0.1,-0.935676003452512,0.08
90,0.023357214690901212,90,0.1,1,1,-0.8459990718171103,0.07,-0.9186366814971263,0.052
90,0.03359818286283781,90,0.1,1,1,-0.8491114720785944,0.05,-0.9092131496186998,0.044
90,0.04832930238571752,90,0.1,1,1,-0.8504823725836462,0.05,-0.9031258559501778,0.044
90,0.06951927961775606,90,0.1,1,1,-0.8571837617711395,0.04,-0.9000083927610381,0.016
90,0.1,90,0.1,1,1,-0.8613842180623216,0.04,-0.9026258654479183,0.012
90,0.11,90,0.1,1,1,-0.8616202178669701,0.04,-0.9025591020723522,0.012
90,0.1831578947368421,90,0.1,1,1,-0.8714251301068765,0.02,-0.9065370380236256,0.004
90,0.2563157894736842,90,0.1,1,1,-0.8805300328274933,0.01,-0.9037588467138702,0.004
90,0.3294736842105263,90,0.1,1,1,-0.8800201718352214,0.01,-0.8963685266889426,0.004
90,0.4026315789473684,90,0.1,1,1,-0.8751476772222128,0.01,-0.8890941616700265,0.004
90,0.4757894736842105,90,0.1,1,1,-0.8691082177372849,0.01,-0.8824874541849731,0.004
90,0.5489473684210526,90,0.1,1,1,-0.8599809972347924,0.0,-0.8797342564491202,0.0
90,0.6221052631578947,90,0.1,1,1,-0.8508077394567403,0.0,-0.8770195255304492,0.0
90,0.6952631578947368,90,0.1,1,1,-0.8451984110335635,0.0,-0.8747758775215657,0.0
90,0.7684210526315789,90,0.1,1,1,-0.8426000535201635,0.0,-0.8734582430982033,0.0
90,0.841578947368421,90,0.1,1,1,-0.8402922956542926,0.0,-0.8721105093467645,0.0
90,0.9147368421052631,90,0.1,1,1,-0.8378113099256831,0.0,-0.8701791869998321,0.0
90,0.9878947368421053,90,0.1,1,1,-0.8355584742236541,0.0,-0.8681665464811601,0.0
90,1.0610526315789475,90,0.1,1,1,-0.8331178038839,0.0,-0.8658793582966061,0.0
90,1.1342105263157896,90,0.1,1,1,-0.830500017421628,0.0,-0.8628151493062871,0.0
90,1.2073684210526316,90,0.1,1,1,-0.8268699587768025,0.0,-0.8593550021057245,0.0
90,1.2805263157894737,90,0.1,1,1,-0.8238979574424241,0.0,-0.8557797282727649,0.0
90,1.3536842105263158,90,0.1,1,1,-0.8206775306101082,0.0,-0.8518441247117906,0.0
90,1.426842105263158,90,0.1,1,1,-0.8168212129218966,0.0,-0.8479320242813528,0.0
90,1.5,90,0.1,1,1,-0.8135200323839504,0.0,-0.8439033937105469,0.0
