,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
33,0,0.9629166666666668,0,0.35,0.75,1,-0.9691808909260018,0.1525,-0.9803618399611282,0.163,0.000409903,0.0,0.0
32,10,0.9258333333333334,10,0.3,1.5,1,-0.9475511070384054,0.1475,-0.8782058068977163,0.154,0.000420043,0.0,0.0
34,20,1.0,20,0.35,1.5,1,-0.8900672310623874,0.1575,-0.8876117960591096,0.123,0.000485473,0.0,0.0
29,30,0.8145833333333333,30,0.1,0.5,1,-0.8890872831707156,0.1475,-0.8977123392673171,0.119,0.000534313,0.0,0.0
26,40,0.7033333333333334,40,0.05,0.75,1,-0.8543609764656958,0.1425,-0.8978860691093555,0.108,0.000359102,0.0,0.0
29,50,0.8145833333333333,50,0.15,1.5,1,-0.9319954398305,0.145,-0.9028471218451772,0.134,0.000416983,0.0,0.0
33,60,0.9629166666666668,60,0.33,1.0,1,-0.920701629545124,0.1575,-0.90366013904152,0.152,0.000534623,0.0,0.0
28,70,0.7775000000000001,70,0.15,1.5,1,-0.9104299773043484,0.15,-0.876432637731507,0.154,0.000578884,0.0,0.0
28,80,0.7775000000000001,80,0.1,1.5,1,-0.95051677197309,0.1425,-0.9199088381711216,0.158,0.000338922,0.0,0.0
33,90,0.9629166666666668,90,0.25,1.2,1,-0.8913232258073722,0.1575,-0.9147164118334764,0.131,0.000307542,0.0,0.0
