,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
28,0,0.7775000000000001,0,0.1,0.75,1,-0.9690165572840608,0.095,-0.964587254661266,0.104,0.000505182,0.0,0.0
25,10,0.66625,10,0.1,1.0,1,-0.9489171358264826,0.1,-0.8751085564443521,0.13,0.000477892,0.0,0.0
36,20,1.1487179487179489,20,0.35,1.5,1,-0.8891245730612909,0.0925,-0.8849576614069703,0.066,0.000483991,0.0,0.0
31,30,0.88875,30,0.1,0.5,1,-0.8893206457697778,0.1075,-0.897755550846854,0.085,0.000510381,0.0,0.0
31,40,0.88875,40,0.05,0.75,1,-0.8669614114272813,0.095,-0.8837656878281372,0.059,0.000415011,0.0,0.0
34,50,1.0,50,0.3,1.0,1,-0.9293112861256904,0.1075,-0.9025837975243768,0.093,0.000475551,0.0,0.0
20,60,0.4808333333333333,60,0.05,0.5,1,-0.9090569135997264,0.11,-0.840990219747908,0.142,0.000309771,0.0,0.0
30,70,0.8516666666666667,70,0.15,1.5,1,-0.9103718251428832,0.1075,-0.8754146841351513,0.112,0.000523752,0.0,0.0
30,80,0.8516666666666667,80,0.1,1.5,1,-0.9507682177248634,0.0975,-0.9197679760690728,0.114,0.000354081,0.0,0.0
27,90,0.7404166666666667,90,0.05,0.75,1,-0.8848455665795931,0.095,-0.9077205012180504,0.1,0.000470362,0.0,0.0
