,test_prob,test_obj,0.25_test_obj,0.75_test_obj
0,0.0144,-0.7977995002413949,-0.8117029231453983,-0.7800919034524397
0,0.0208,-0.8162139412792289,-0.8241570320067497,-0.818845897348208
0,0.036199999999999996,-0.8023300624146168,-0.8240929215424643,-0.786204343602812
0,0.053200000000000004,-0.8305833548814302,-0.8616666083337768,-0.7957983242246405
0,0.08659999999999998,-0.8484864588178688,-0.8799490896814917,-0.8236586463888155
0,0.09020000000000002,-0.867255551598262,-0.9087416473171488,-0.8329922848670028
0,0.1246,-0.8468839343485619,-0.8668355677979437,-0.8265889222308351
0,0.14479999999999998,-0.8701390993363711,-0.9001475098786081,-0.8567442280171839
0,0.16820000000000002,-0.8981481112583612,-0.90335894462777,-0.8937099163897971
0,0.20659999999999998,-0.8807599644274433,-0.9029080504300492,-0.8733030841220475
