,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,nonrob_prob,nonrob_obj,scenario_probs,scenario_obj
15,0,1.1355932203389831,0,0.4,1.0,1,-0.9163636046877616,0.105,-0.9123488577549048,0.139,0.643206609600977,-0.8832954796568405,0.2983019741690197,-0.8397777151522593
15,10,1.1355932203389831,10,0.4,1.0,1,-0.909793567864356,0.095,-0.909963341967762,0.118,0.6780562290663765,-0.855328055676423,0.3020523825985548,-0.8416055412254032
16,20,1.1779661016949152,20,0.3,1.0,1,-0.912361604988336,0.11,-0.9140037323264536,0.097,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
15,30,1.1355932203389831,30,0.4,0.5,1,-0.9101919488223268,0.1075,-0.9039795459268826,0.113,0.6133562769097132,-0.8836488311156103,0.2945352685916004,-0.8404526436235911
21,40,1.389830508474576,40,0.35,1.0,1,-0.9247008934818876,0.1075,-0.917979882573821,0.126,0.6293881587432578,-0.8791352912951522,0.2780046376332906,-0.8372668662912996
15,50,1.1355932203389831,50,0.4,1.0,1,-0.9163636046877616,0.105,-0.9123488577549048,0.139,0.643206609600977,-0.8832954796568405,0.2983019741690197,-0.8397777151522593
15,60,1.1355932203389831,60,0.4,1.0,1,-0.909793567864356,0.095,-0.909963341967762,0.118,0.6780562290663765,-0.855328055676423,0.3020523825985548,-0.8416055412254032
16,70,1.1779661016949152,70,0.3,1.0,1,-0.912361604988336,0.11,-0.9140037323264536,0.097,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
15,80,1.1355932203389831,80,0.4,0.5,1,-0.9101919488223268,0.1075,-0.9039795459268826,0.113,0.6133562769097132,-0.8836488311156103,0.2945352685916004,-0.8404526436235911
21,90,1.389830508474576,90,0.35,1.0,1,-0.9247008934818876,0.1075,-0.917979882573821,0.126,0.6293881587432578,-0.8791352912951522,0.2780046376332906,-0.8372668662912996
