,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,nonrob_prob,nonrob_obj,scenario_probs,scenario_obj
18,0,1.2627118644067796,0,0.4,1.0,1,-0.9151926775195444,0.0575,-0.9112107379954684,0.096,0.643206609600977,-0.8832954796568405,0.2983019741690197,-0.8397777151522593
15,10,1.1355932203389831,10,0.3,1.0,1,-0.9108574572305356,0.055,-0.9124592934498308,0.074,0.6780562290663765,-0.855328055676423,0.3020523825985548,-0.8416055412254032
20,20,1.347457627118644,20,0.3,1.0,1,-0.9111314151926012,0.06,-0.9127288007597189,0.059,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
16,30,1.1779661016949152,30,0.33,1.0,1,-0.9111948440831564,0.055,-0.9109864180400692,0.08,0.6133562769097132,-0.8836488311156103,0.2945352685916004,-0.8404526436235911
24,40,1.5169491525423728,40,0.3,1.0,1,-0.919126492547494,0.06,-0.9119911011163816,0.068,0.6293881587432578,-0.8791352912951522,0.2780046376332906,-0.8372668662912996
18,50,1.2627118644067796,50,0.4,1.0,1,-0.9151926775195444,0.0575,-0.9112107379954684,0.096,0.643206609600977,-0.8832954796568405,0.2983019741690197,-0.8397777151522593
15,60,1.1355932203389831,60,0.3,1.0,1,-0.9108574572305356,0.055,-0.9124592934498308,0.074,0.6780562290663765,-0.855328055676423,0.3020523825985548,-0.8416055412254032
20,70,1.347457627118644,70,0.3,1.0,1,-0.9111314151926012,0.06,-0.9127288007597189,0.059,0.6029922853062744,-0.9059648942393448,0.3240931698116166,-0.8297923100785679
16,80,1.1779661016949152,80,0.33,1.0,1,-0.9111948440831564,0.055,-0.9109864180400692,0.08,0.6133562769097132,-0.8836488311156103,0.2945352685916004,-0.8404526436235911
24,90,1.5169491525423728,90,0.3,1.0,1,-0.919126492547494,0.06,-0.9119911011163816,0.068,0.6293881587432578,-0.8791352912951522,0.2780046376332906,-0.8372668662912996
