,step,Lagrangian_val,Train_val,Probability_violations_train,Violations_train,Avg_prob_train,A_norm,lam_list,mu,alpha,alphagrad,gradnorm,Rho
72,72,843.9137638036487,-3.5992205816506084,[0.04],14.546295912112418,0.04,37.47266287646828,[51.09519425],1.001,0.004783968207003083,tensor(-196.9681),"[np.float64(0.5755470279367504), np.float64(9.150500357910403), np.float64(0.02162424632770166), np.float64(2.4718617733186865)]",1.0
73,73,840.9553758132333,-3.5974783538374435,[0.04],14.500684329891527,0.04,37.493920268219924,[51.09519425],1.001,0.004822022796018978,tensor(-196.8311),"[np.float64(0.5756123719195193), np.float64(9.150441157943805), np.float64(0.021809068871657483), np.float64(2.4719310870759346)]",1.0
74,74,837.9541488755941,-3.5957784885750694,[0.04],14.454380005924977,0.04,37.515387603699494,[51.09519425],1.001,0.004860594976162818,tensor(-196.6921),"[np.float64(0.5756780816732251), np.float64(9.15038143411364), np.float64(0.02199555469206387), np.float64(2.4720011494346497)]",1.0
75,75,834.9149703204384,-3.5941162727949454,[0.04],14.407456873630226,0.04,37.53704239833202,[51.09519425],1.001,0.0048996377045628795,tensor(-196.5512),"[np.float64(0.5757441262849634), np.float64(9.150321240050287), np.float64(0.022183504785033132), np.float64(2.4720718770104724)]",1.0
76,76,831.8422085892639,-3.592487469296563,[0.04],14.359981047939899,0.04,37.55886468653798,[51.09519425],1.001,0.004939108394021988,tensor(-196.4086),"[np.float64(0.5758104782008392), np.float64(9.15026062387728), np.float64(0.022372745388827105), np.float64(2.47214319545537)]",1.0
77,77,828.7397690425402,-3.5908882696964692,[0.04],14.31201166519324,0.04,37.580836729496745,[51.09519425],1.001,0.004978968486614211,tensor(-196.2646),"[np.float64(0.5758771128444554), np.float64(9.15019962878554), np.float64(0.0225631244354895), np.float64(2.4722150384557775)]",1.0
78,78,825.6111435066219,-3.589315251330555,[0.04],14.263601628895529,0.04,37.602942760399756,[51.09519425],1.001,0.00501918306797523,tensor(-196.1192),"[np.float64(0.5759440082796289), np.float64(9.150138293547087), np.float64(0.022754508604029295), np.float64(2.4722873468502917)]",1.0
79,79,822.4594545740903,-3.587765338287411,[0.04],14.214798276203185,0.04,37.62516875944008,[51.09519425],1.001,0.005059720518431716,tensor(-195.9726),"[np.float64(0.576011144910451), np.float64(9.15007665297567), np.float64(0.022946780810362978), np.float64(2.4723600678448276)]",1.0
80,80,819.2874946896329,-3.586235766869906,[0.04],14.165643965654754,0.04,37.64750225653084,[51.09519425],1.0020009999999997,0.005100552197476259,tensor(-195.8250),"[np.float64(0.5760785052192555), np.float64(9.150014738336187), np.float64(0.023139838075684857), np.float64(2.4724331543192646)]",1.0
81,81,551.6415109540691,-4.161985879043504,[0.03],9.963697033954674,0.03,37.6333795295263,[51.09519425],1.0020009999999997,0.005141652158421774,tensor(-122.1577),"[np.float64(0.5761460735319336), np.float64(9.149952577712979), np.float64(0.023333589698350584), np.float64(2.472506564209679)]",1.0
