,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
37,0,1.2655172413793103,0,0.05,1.0,1.5,-0.5869439164761728,0.145,-0.6122256714222001,0.124,0.00039771,0.015,0.024,-0.6113026284143812,-0.6084692078390074,-0.8038825488625908,-0.8101355594010938,-0.4923010587892474,-0.505631522357296
37,10,1.2655172413793103,10,0.05,1.0,1.5,-0.6135420143454908,0.15,-0.5916073055110114,0.13,0.000356131,0.01,0.022,-0.62931035709169,-0.6221942666226696,-0.8058297609067969,-0.8115595804974476,-0.4647469510588788,-0.4906573826822286
38,20,1.3482758620689657,20,0.05,1.0,1.5,-0.597824250964867,0.16,-0.605423158357211,0.112,0.000471601,0.04,0.02,-0.6113937755430016,-0.6079105988458885,-0.8004004628305669,-0.8102913917934875,-0.5193781847371222,-0.5038013178432615
34,30,1.0,30,0.05,1.0,1.5,-0.5602788730505635,0.15,-0.603468456510864,0.154,0.000416241,0.005,0.002,-0.6344170176318036,-0.6308832406314162,-0.84028434695291,-0.8206430035095509,-0.5071188103541568,-0.5089679442126261
37,40,1.2655172413793103,40,0.05,1.0,1.5,-0.5758019270554288,0.135,-0.5660433263980678,0.13,0.000401681,0.04,0.026,-0.5812085316841863,-0.5832779225074567,-0.7797862133237775,-0.8089510414645058,-0.4373974621050745,-0.4461770999189407
38,50,1.3482758620689657,50,0.05,1.0,1.5,-0.5640372044062463,0.155,-0.561884950193,0.134,0.000396751,0.03,0.028,-0.5935533279331099,-0.5928642019729775,-0.7901225306330305,-0.7858668312994426,-0.4934512249880831,-0.4784080305857382
35,60,1.1,60,0.05,1.0,1.5,-0.601679958105688,0.15,-0.5877439886901037,0.18,0.000442431,0.015,0.012,-0.6546902153601698,-0.6561358979885954,-0.8228865867804751,-0.8057078332321209,-0.5026727116655361,-0.4816761913182011
38,70,1.3482758620689657,70,0.05,1.0,1.5,-0.5626833780696033,0.13,-0.583010682123259,0.108,0.000482951,0.04,0.05,-0.5994163579559223,-0.593764063997649,-0.7734415918609077,-0.8075533120568249,-0.4583409890319481,-0.5101360391150238
37,80,1.2655172413793103,80,0.05,1.0,1.5,-0.5558796097785514,0.14,-0.6080388679450067,0.082,0.000411471,0.035,0.016,-0.611684756792858,-0.6064472817281275,-0.795941817561068,-0.8099878737912399,-0.4877168925063184,-0.5262114297959413
35,90,1.1,90,0.05,1.0,1.5,-0.6162329633679934,0.145,-0.5786536419214434,0.192,0.000428701,0.01,0.008,-0.6524948210272687,-0.6525291964087809,-0.8103495079310715,-0.8097281727368015,-0.485184971467188,-0.4834335677932206
