,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
39,0,1.4310344827586208,0,0.05,1.0,1.5,-0.594403453084872,0.105,-0.614501752986314,0.078,0.00039771,0.04,0.048,-0.5807559958170202,-0.5773980497630701,-0.8026164776793752,-0.8077570404923233,-0.4954392870386084,-0.5111340694078548
39,10,1.4310344827586208,10,0.05,1.0,1.5,-0.6192483590576637,0.11,-0.5957986767110683,0.102,0.000356131,0.045,0.052,-0.5979470920138064,-0.5906512498652688,-0.8052414533729472,-0.8088861841486641,-0.48354080359986,-0.5033056077605554
40,20,1.513793103448276,20,0.05,1.0,1.5,-0.6030026964466154,0.095,-0.6117660648809435,0.09,0.000471601,0.075,0.048,-0.5801246519895016,-0.5763692226200279,-0.7980934014227336,-0.8078992814386055,-0.5285853894807616,-0.5083846153091935
37,30,1.2655172413793103,30,0.05,1.0,1.5,-0.5849908267158759,0.1,-0.6138780405442852,0.086,0.000416241,0.015,0.026,-0.5774490040629265,-0.5732780751837384,-0.8328101320162279,-0.8153848296151776,-0.5282595624249504,-0.5250788943882176
39,40,1.4310344827586208,40,0.05,1.0,1.5,-0.5792218151016975,0.11,-0.5809023364619116,0.096,0.000401681,0.065,0.042,-0.5448365969315183,-0.546552632795358,-0.7774994884563757,-0.8066720323178396,-0.4539913771877223,-0.4610261621894314
42,50,1.6793103448275863,50,0.05,1.0,1.5,-0.566451242032513,0.1,-0.563092780656533,0.078,0.000396751,0.105,0.112,-0.5374625481826107,-0.5358958834793277,-0.7877576827094012,-0.784873981736632,-0.497125008179919,-0.4855447412506745
38,60,1.3482758620689657,60,0.05,1.0,1.5,-0.6125157110694528,0.09,-0.5918867347192308,0.132,0.000442431,0.025,0.032,-0.6088380269725632,-0.6099417010605271,-0.8181447303947819,-0.8039041150031361,-0.5113901047482736,-0.4902006527882531
40,70,1.513793103448276,70,0.05,1.0,1.5,-0.5605716918604704,0.105,-0.5983314467321302,0.08,0.000482951,0.055,0.074,-0.567907696321612,-0.5621644691734348,-0.7732359448632451,-0.8058378117507853,-0.490829625857255,-0.5324503222130157
39,80,1.4310344827586208,80,0.05,1.0,1.5,-0.559580327169638,0.09,-0.6128813647384955,0.048,0.000411471,0.065,0.048,-0.5818608965392194,-0.5757527268987022,-0.7946205424169861,-0.8089864966523207,-0.491242563394692,-0.5314964815381541
37,90,1.2655172413793103,90,0.05,1.0,1.5,-0.6175619013489967,0.095,-0.5826053345204677,0.148,0.000428701,0.03,0.018,-0.6220488115610984,-0.6220366586806612,-0.8066302433308674,-0.8054574034041814,-0.5059684375664432,-0.5029699943749162
