,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
20,0,0.7457142857142857,0,0.09,8.0,4,-0.4943154759024432,0.045,-0.4482841145497471,0.052,0.000364459,0.25,0.28,-0.4833331293120719,-0.4342558291170386,-0.8192115803020453
21,10,0.8092857142857143,10,0.12,8.0,4,-0.4647100356396293,0.055,-0.4888827087129164,0.03,0.00035426,0.365,0.38,-0.4924872533021223,-0.5051222466556082,-0.8319905672588939
20,20,0.7457142857142857,20,0.08,10.0,4,-0.5006226899883607,0.055,-0.4511938282702867,0.068,0.000411269,0.27,0.266,-0.4771176466962664,-0.4288127297968683,-0.8165475590420994
20,30,0.7457142857142857,30,0.08,10.0,4,-0.4749510713122466,0.05,-0.4907351585717429,0.054,0.000458169,0.325,0.322,-0.4475378100061878,-0.4731296231577823,-0.8398228142359649
22,40,0.8728571428571429,40,0.05,10.0,4,-0.4239365234778745,0.05,-0.4639878498892995,0.03,0.000391649,0.435,0.416,-0.3304650711013861,-0.3870231663808263,-0.8089483998592354
20,50,0.7457142857142857,50,0.05,8.0,4,-0.4791261748828472,0.045,-0.4645171374689242,0.054,0.0003635,0.44,0.43,-0.4171343938561846,-0.3824991592648055,-0.8029095764016924
17,60,0.555,60,0.05,5.0,4,-0.5309172077738745,0.05,-0.4949714327804703,0.052,0.00038905,0.15,0.108,-0.4989715318273736,-0.4229638010051981,-0.8178869672936835
22,70,0.8728571428571429,70,0.12,10.0,4,-0.435590997532395,0.045,-0.4871913253305072,0.038,0.000463429,0.485,0.52,-0.4634384321756729,-0.5080710837340147,-0.8259528403879042
19,80,0.6821428571428572,80,0.05,8.0,4,-0.4837724490563863,0.05,-0.4835475764356137,0.036,0.00044666,0.3,0.336,-0.4372861057524747,-0.4019897467797264,-0.8264978605977757
19,90,0.6821428571428572,90,0.09,8.0,4,-0.5015492216192764,0.045,-0.4629518393104554,0.052,0.000372739,0.255,0.262,-0.492158164920421,-0.453353122919887,-0.8194580849855239
