seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
30,0.5,30,0.45,0.5,1,-0.8155157979264607,0.67,-0.8066495680471455,0.668
30,0.5798319327731092,30,0.45,0.5,1,-0.8150118573428048,0.66,-0.8066741397902456,0.64
30,0.6596638655462185,30,0.45,0.5,1,-0.813399066096562,0.61,-0.8058313433987219,0.62
30,0.7394957983193278,30,0.45,0.5,1,-0.8106824472258112,0.59,-0.803649182628062,0.612
30,0.819327731092437,30,0.45,0.5,1,-0.8084526193721089,0.58,-0.8020721357732699,0.584
30,0.8991596638655461,30,0.45,0.5,1,-0.8069439901615779,0.57,-0.8009870714123487,0.56
30,0.9789915966386554,30,0.45,0.5,1,-0.8058240471427073,0.56,-0.8002309212188007,0.52
30,1.0588235294117647,30,0.45,0.5,1,-0.80495078147923,0.55,-0.7996649518503092,0.504
30,1.138655462184874,30,0.45,0.5,1,-0.8040783496610251,0.54,-0.7991554121060725,0.484
30,1.218487394957983,30,0.45,0.5,1,-0.8030464547831789,0.52,-0.7988584694869019,0.468
30,1.2983193277310923,30,0.45,0.5,1,-0.8018035449957214,0.51,-0.7981499170445508,0.436
30,1.3781512605042017,30,0.45,0.5,1,-0.8008651529397204,0.46,-0.7973057430734101,0.42
30,1.4579831932773109,30,0.45,0.5,1,-0.8000638271530954,0.45,-0.796417129060651,0.392
30,1.53781512605042,30,0.45,0.5,1,-0.8018056568961309,0.43,-0.7961555837735188,0.388
30,1.6176470588235294,30,0.45,0.5,1,-0.8041426709988613,0.42,-0.796171039339883,0.356
30,1.6974789915966386,30,0.45,0.5,1,-0.8056110342850714,0.41,-0.7960306390566555,0.336
30,1.7773109243697478,30,0.45,0.5,1,-0.8062995447071732,0.39,-0.7958021896210018,0.336
30,1.857142857142857,30,0.45,0.5,1,-0.8068742690149489,0.36,-0.7955443520322485,0.32
30,1.9369747899159662,30,0.45,0.5,1,-0.8077118500349205,0.33,-0.7955161942413648,0.312
30,2.0168067226890756,30,0.45,0.5,1,-0.8083515741058273,0.31,-0.7954794570914921,0.284
30,2.0966386554621845,30,0.45,0.5,1,-0.8088953474021433,0.26,-0.7954468097435368,0.276
30,2.176470588235294,30,0.45,0.5,1,-0.8093839119962785,0.25,-0.7954415905956261,0.248
30,2.2563025210084033,30,0.45,0.5,1,-0.8097335063261758,0.24,-0.7953917147822169,0.24
30,2.3361344537815123,30,0.45,0.5,1,-0.8100184685343257,0.23,-0.7953250540249626,0.224
30,2.4159663865546217,30,0.45,0.5,1,-0.8102550253753324,0.21,-0.7952852808663327,0.216
30,2.495798319327731,30,0.45,0.5,1,-0.8105652997729507,0.19,-0.7951460580872363,0.208
30,2.57563025210084,30,0.45,0.5,1,-0.811022315971193,0.19,-0.7949928993344578,0.208
30,2.6554621848739495,30,0.45,0.5,1,-0.8114943263694349,0.19,-0.7948696649153373,0.196
30,2.735294117647059,30,0.45,0.5,1,-0.8119889012310832,0.18,-0.7948077692196781,0.184
30,2.815126050420168,30,0.45,0.5,1,-0.8125900286243748,0.18,-0.7948069832453081,0.172
30,2.8949579831932772,30,0.45,0.5,1,-0.8131657242262412,0.15,-0.7948191646439983,0.156
30,2.974789915966386,30,0.45,0.5,1,-0.8136762553726485,0.14,-0.7948352184302206,0.152
30,3.0546218487394956,30,0.45,0.5,1,-0.8141259389143116,0.14,-0.7948527105897512,0.148
30,3.134453781512605,30,0.45,0.5,1,-0.8144735503220235,0.14,-0.7948628518074841,0.14
30,3.214285714285714,30,0.45,0.5,1,-0.8148010637615877,0.13,-0.794871022416634,0.12
30,3.2941176470588234,30,0.45,0.5,1,-0.815070977303174,0.13,-0.7948565772112306,0.12
30,3.3739495798319323,30,0.45,0.5,1,-0.8153332947624891,0.13,-0.794827739755947,0.108
30,3.4537815126050417,30,0.45,0.5,1,-0.8155928037050931,0.12,-0.7947932427425687,0.104
30,3.533613445378151,30,0.45,0.5,1,-0.8160150360680407,0.12,-0.7946101883826059,0.096
30,3.61344537815126,30,0.45,0.5,1,-0.816464224514568,0.12,-0.7944278455759909,0.092
30,3.6932773109243695,30,0.45,0.5,1,-0.8168755453254944,0.11,-0.7942626049688141,0.092
30,3.773109243697479,30,0.45,0.5,1,-0.8172615795524132,0.11,-0.7941133383812878,0.084
30,3.852941176470588,30,0.45,0.5,1,-0.8176307641923946,0.09,-0.7939790424356034,0.084
30,3.9327731092436973,30,0.45,0.5,1,-0.8179559896860619,0.08,-0.7938436387390434,0.084
30,4.012605042016807,30,0.45,0.5,1,-0.8182452620714743,0.08,-0.7937152806828626,0.076
30,4.092436974789916,30,0.45,0.5,1,-0.8185510373179858,0.08,-0.7936175826893974,0.076
30,4.172268907563025,30,0.45,0.5,1,-0.8188529931500296,0.08,-0.7935421289482967,0.068
30,4.252100840336134,30,0.45,0.5,1,-0.8191353975654085,0.08,-0.7934716879523762,0.06
30,4.331932773109243,30,0.45,0.5,1,-0.8193991559508589,0.08,-0.7934034459088464,0.06
30,4.411764705882353,30,0.45,0.5,1,-0.8196468644766368,0.08,-0.7933390868622436,0.056
30,4.491596638655462,30,0.45,0.5,1,-0.819880311198807,0.08,-0.7932785059537423,0.052
30,4.571428571428571,30,0.45,0.5,1,-0.8201022550876681,0.07,-0.7932142708715717,0.052
30,4.65126050420168,30,0.45,0.5,1,-0.8203149802364814,0.06,-0.7931504716162501,0.04
30,4.73109243697479,30,0.45,0.5,1,-0.820516905301075,0.05,-0.7930900090812786,0.04
30,4.810924369747899,30,0.45,0.5,1,-0.8207159410827417,0.05,-0.7930314449404877,0.036
30,4.890756302521008,30,0.45,0.5,1,-0.8208954631072387,0.05,-0.7929556295426934,0.032
30,4.970588235294118,30,0.45,0.5,1,-0.8210667526856418,0.05,-0.7928737024252378,0.032
30,5.050420168067227,30,0.45,0.5,1,-0.8212300429934671,0.05,-0.7927924091851761,0.032
30,5.130252100840336,30,0.45,0.5,1,-0.8213860860775364,0.05,-0.7927150103118275,0.032
30,5.210084033613445,30,0.45,0.5,1,-0.8215353978494434,0.05,-0.7926409314442624,0.032
30,5.2899159663865545,30,0.45,0.5,1,-0.8216793607554663,0.05,-0.7925755194327501,0.032
30,5.369747899159663,30,0.45,0.5,1,-0.821812641995568,0.05,-0.7925150038056716,0.032
30,5.449579831932772,30,0.45,0.5,1,-0.8219378319383531,0.05,-0.7924575134809775,0.032
30,5.529411764705882,30,0.45,0.5,1,-0.8220510567583027,0.05,-0.7924100510006377,0.032
30,5.609243697478991,30,0.45,0.5,1,-0.8221569638950647,0.04,-0.7923756983892627,0.032
30,5.6890756302521,30,0.45,0.5,1,-0.822258848233514,0.04,-0.7923429906721892,0.032
30,5.76890756302521,30,0.45,0.5,1,-0.8223569531765662,0.03,-0.7923119474673349,0.032
30,5.848739495798319,30,0.45,0.5,1,-0.8224554700140787,0.03,-0.7922887641212523,0.032
30,5.928571428571428,30,0.45,0.5,1,-0.8225527033972021,0.03,-0.7922700297515468,0.032
30,6.008403361344538,30,0.45,0.5,1,-0.8226371843266019,0.03,-0.7922484825644918,0.032
30,6.088235294117647,30,0.45,0.5,1,-0.8227184994106225,0.03,-0.7922277442124441,0.028
30,6.168067226890756,30,0.45,0.5,1,-0.822775139795315,0.03,-0.7922079716793232,0.028
30,6.247899159663865,30,0.45,0.5,1,-0.8228057883493436,0.03,-0.7921889996605485,0.028
30,6.3277310924369745,30,0.45,0.5,1,-0.8228451285312643,0.03,-0.7921762347179429,0.028
30,6.4075630252100835,30,0.45,0.5,1,-0.8228834952548431,0.03,-0.7921642239593266,0.028
30,6.487394957983192,30,0.45,0.5,1,-0.8229202689054914,0.02,-0.7921527990114557,0.028
30,6.567226890756302,30,0.45,0.5,1,-0.8229556386466871,0.01,-0.7921418325737292,0.028
30,6.647058823529411,30,0.45,0.5,1,-0.8229900178557494,0.01,-0.7921311763480166,0.028
30,6.72689075630252,30,0.45,0.5,1,-0.8230264485020493,0.01,-0.7921216453783486,0.028
30,6.80672268907563,30,0.45,0.5,1,-0.8230615212587267,0.01,-0.7921123665558658,0.028
30,6.886554621848739,30,0.45,0.5,1,-0.8230954062370602,0.01,-0.7921033992704852,0.028
30,6.966386554621848,30,0.45,0.5,1,-0.8231283128690435,0.01,-0.7920948053467455,0.028
30,7.046218487394958,30,0.45,0.5,1,-0.8231625593312902,0.01,-0.7920885186627576,0.028
30,7.126050420168067,30,0.45,0.5,1,-0.8232054565835175,0.01,-0.7920906472760081,0.024
30,7.205882352941176,30,0.45,0.5,1,-0.823246798020526,0.01,-0.7920926730083785,0.024
30,7.285714285714286,30,0.45,0.5,1,-0.8232869992187791,0.01,-0.7920947173215777,0.024
30,7.3655462184873945,30,0.45,0.5,1,-0.8233261025086898,0.01,-0.7920967614044107,0.024
30,7.4453781512605035,30,0.45,0.5,1,-0.8233581103628305,0.01,-0.7920840286291798,0.024
30,7.525210084033613,30,0.45,0.5,1,-0.8233875132819367,0.01,-0.7920681219207011,0.024
30,7.605042016806722,30,0.45,0.5,1,-0.8234161379082982,0.01,-0.792052585142381,0.024
30,7.684873949579831,30,0.45,0.5,1,-0.8234440030616681,0.01,-0.7920374511396988,0.024
30,7.76470588235294,30,0.45,0.5,1,-0.8234711367928125,0.01,-0.7920227544414115,0.024
30,7.84453781512605,30,0.45,0.5,1,-0.8234975393851901,0.01,-0.7920083403274394,0.024
30,7.924369747899159,30,0.45,0.5,1,-0.8235234474109668,0.01,-0.7919945597539682,0.024
30,8.004201680672267,30,0.45,0.5,1,-0.8235485439869932,0.01,-0.7919809229004294,0.024
30,8.084033613445378,30,0.45,0.5,1,-0.8235730244381466,0.01,-0.7919676436228854,0.024
30,8.163865546218487,30,0.45,0.5,1,-0.8235968976605154,0.01,-0.7919547077592076,0.024
30,8.243697478991596,30,0.45,0.5,1,-0.8236202335442013,0.01,-0.7919420678193169,0.024
30,8.323529411764707,30,0.45,0.5,1,-0.8236428140695602,0.01,-0.7919297501864553,0.024
30,8.403361344537814,30,0.45,0.5,1,-0.8236648902344841,0.01,-0.7919176931423592,0.024
30,8.483193277310924,30,0.45,0.5,1,-0.8236865511954151,0.01,-0.7919059060335398,0.024
30,8.563025210084033,30,0.45,0.5,1,-0.823707738394643,0.01,-0.791894373056153,0.024
30,8.642857142857142,30,0.45,0.5,1,-0.8237284030569001,0.01,-0.7918831632110176,0.024
30,8.722689075630251,30,0.45,0.5,1,-0.8237485074669537,0.01,-0.7918721119532733,0.024
30,8.80252100840336,30,0.45,0.5,1,-0.8237681968352669,0.01,-0.7918613157193313,0.02
30,8.88235294117647,30,0.45,0.5,1,-0.8237874595452996,0.01,-0.7918507594401601,0.02
30,8.96218487394958,30,0.45,0.5,1,-0.8238063916757382,0.01,-0.7918403844332574,0.02
30,9.042016806722689,30,0.45,0.5,1,-0.8238246977735387,0.01,-0.7918303319140485,0.02
30,9.121848739495798,30,0.45,0.5,1,-0.8238429696897255,0.01,-0.7918206039741643,0.02
30,9.201680672268907,30,0.45,0.5,1,-0.8238606685813966,0.01,-0.7918109233528255,0.02
30,9.281512605042016,30,0.45,0.5,1,-0.8238779416508129,0.01,-0.7918014568259695,0.02
30,9.361344537815125,30,0.45,0.5,1,-0.823894972578933,0.01,-0.7917922334506988,0.02
30,9.441176470588236,30,0.45,0.5,1,-0.8239115259781354,0.01,-0.7917830917621445,0.02
30,9.521008403361344,30,0.45,0.5,1,-0.8239296175849818,0.01,-0.7917750411244674,0.02
30,9.600840336134453,30,0.45,0.5,1,-0.8239539791940276,0.01,-0.7917703134902724,0.02
30,9.680672268907562,30,0.45,0.5,1,-0.8239778298740176,0.01,-0.7917656330506272,0.02
30,9.760504201680671,30,0.45,0.5,1,-0.8240013550925093,0.01,-0.7917611478309926,0.02
30,9.84033613445378,30,0.45,0.5,1,-0.8240242458047934,0.01,-0.7917566437144143,0.016
30,9.92016806722689,30,0.45,0.5,1,-0.8240467165934676,0.01,-0.7917522138339698,0.012
30,10.0,30,0.45,0.5,1,-0.8240688230658446,0.01,-0.7917478586485397,0.012
