seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
30,0.0001,30,0.25,2,1,-427.64975001658155,1.0,-427.1343986342037,1.0,0.008153603
30,0.00021544346900318845,30,0.25,2,1,-427.64816955146205,1.0,-427.1342529757698,1.0,0.008153603
30,0.00046415888336127773,30,0.25,2,1,-427.64534462790084,1.0,-427.1314210812216,1.0,0.008153603
30,0.001,30,0.25,2,1,-427.6395772585599,1.0,-427.12588482997836,1.0,0.008153603
30,0.002154434690031882,30,0.25,2,1,-427.62751538476164,1.0,-427.1133168001205,1.0,0.008153603
30,0.004641588833612777,30,0.25,2,1,-427.6012727243696,1.0,-427.08697308373456,1.0,0.008153603
30,0.01,30,0.25,2,1,-427.54475691347267,1.0,-427.0302288931062,1.0,0.008153603
30,0.021544346900318822,30,0.25,2,1,-427.4230242412013,1.0,-426.90799430667306,1.0,0.008153603
30,0.046415888336127774,30,0.25,2,1,-427.16076367655273,1.0,-426.644650367671,0.998,0.008153603
30,0.1,30,0.25,2,1,-426.59573820957877,1.0,-426.0772929535892,0.998,0.008153603
30,0.11,30,0.25,2,1,-426.490291787686,1.0,-425.97141131427276,0.998,0.008153603
30,0.17357142857142857,30,0.25,2,1,-425.819953914532,0.995,-425.29830717926393,0.994,0.008153603
30,0.23714285714285716,30,0.25,2,1,-425.14961551078136,0.985,-424.6252024820545,0.976,0.008153603
30,0.3007142857142857,30,0.25,2,1,-424.47927760537414,0.965,-423.95209812931523,0.95,0.008153603
30,0.36428571428571427,30,0.25,2,1,-423.80893947994474,0.93,-423.27899362660287,0.912,0.008153603
30,0.4278571428571428,30,0.25,2,1,-423.138601442148,0.9,-422.6058892286451,0.878,0.008153603
30,0.49142857142857144,30,0.25,2,1,-422.468263501925,0.855,-421.93278493048507,0.826,0.008153603
30,0.555,30,0.25,2,1,-421.7979253429437,0.765,-421.2596803723262,0.78,0.008153603
30,0.6185714285714285,30,0.25,2,1,-421.1275873006783,0.705,-420.586575977375,0.722,0.008153603
30,0.6821428571428572,30,0.25,2,1,-420.45724927811636,0.675,-419.91347160991774,0.652,0.008153603
30,0.7457142857142857,30,0.25,2,1,-419.7869112117225,0.625,-419.24036717951276,0.61,0.008153603
30,0.8092857142857143,30,0.25,2,1,-419.1165730622364,0.59,-418.5672626735334,0.542,0.008153603
30,0.8728571428571429,30,0.25,2,1,-418.44623512888086,0.52,-417.89415835516445,0.49,0.008153603
30,0.9364285714285714,30,0.25,2,1,-417.7758970256337,0.47,-417.22105385564504,0.442,0.008153603
30,1.0,30,0.25,2,1,-417.10555887969224,0.43,-416.54794936742496,0.404,0.008153603
30,1.1,30,0.25,2,1,-416.0510945816015,0.38,-415.4891334952264,0.342,0.008153603
30,1.2625000000000002,30,0.25,2,1,-414.3375900732141,0.28,-413.768557658443,0.27,0.008153603
30,1.425,30,0.25,2,1,-412.6240854387277,0.19,-412.04798170719147,0.204,0.008153603
30,1.5875000000000001,30,0.25,2,1,-410.91058092158767,0.145,-410.32740582095437,0.156,0.008153603
30,1.75,30,0.25,2,1,-409.19707640317426,0.125,-408.6068300016041,0.118,0.008153603
30,1.9125,30,0.25,2,1,-407.4835718665158,0.09,-406.8862541497051,0.094,0.008153603
30,2.075,30,0.25,2,1,-405.7700673723784,0.07,-405.16567832189025,0.07,0.008153603
30,2.2375,30,0.25,2,1,-404.05656271272096,0.06,-403.4451023285867,0.056,0.008153603
30,2.4000000000000004,30,0.25,2,1,-402.3385930286424,0.06,-401.7195442928502,0.048,0.008153603
30,2.5625,30,0.25,2,1,-400.6122025586665,0.045,-399.9865991482569,0.044,0.008153603
30,2.725,30,0.25,2,1,-398.8489124621259,0.05,-398.21739166039754,0.032,0.008153603
30,2.8875,30,0.25,2,1,-397.0722822836995,0.035,-396.43504077500626,0.02,0.008153603
30,3.0500000000000003,30,0.25,2,1,-395.293704326507,0.025,-394.6506555620332,0.012,0.008153603
30,3.2125000000000004,30,0.25,2,1,-393.5151262984425,0.025,-392.86627026673233,0.006,0.008153603
30,3.375,30,0.25,2,1,-391.73245709208896,0.015,-391.0770664572652,0.004,0.008153603
30,3.5375,30,0.25,2,1,-389.9486223018903,0.01,-389.2864898652585,0.004,0.008153603
30,3.7,30,0.25,2,1,-388.15464261721866,0.01,-387.48468345794123,0.004,0.008153603
30,3.8625000000000003,30,0.25,2,1,-386.2894829605115,0.01,-385.6156504922434,0.0,0.008153603
30,4.025,30,0.25,2,1,-384.28442319750104,0.01,-383.6056619437878,0.0,0.008153603
30,4.1875,30,0.25,2,1,-382.04988539423607,0.005,-381.3784034038557,0.0,0.008153603
30,4.35,30,0.25,2,1,-379.56382997748256,0.005,-378.9192258583686,0.0,0.008153603
30,4.5125,30,0.25,2,1,-376.79894813362057,0.0,-376.19642852717055,0.0,0.008153603
30,4.675000000000001,30,0.25,2,1,-373.7847810368452,0.005,-373.23082247860606,0.0,0.008153603
30,4.8375,30,0.25,2,1,-370.5660671708762,0.015,-370.0608848694769,0.002,0.008153603
30,5.0,30,0.25,2,1,-367.1816722744108,0.005,-366.7208887655905,0.0,0.008153603
