,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
9,0,1.218487394957983,0,0.25,1.0,1,-0.9179624819152552,0.055,-0.9208647926916778,0.061
11,10,1.3781512605042017,10,0.35,1.2,1,-0.9204903000912408,0.06,-0.9248997805799644,0.069
12,20,1.4579831932773109,20,0.45,1.0,1,-0.9199352117025584,0.0575,-0.9217316668861965,0.043
10,30,1.2983193277310925,30,0.4,1.0,1,-0.9227346197176824,0.0575,-0.9238951232602484,0.079
12,40,1.4579831932773109,40,0.35,1.0,1,-0.9210035382275972,0.06,-0.9188111750422432,0.064
12,50,1.4579831932773109,50,0.33,1.0,1,-0.9261627195235786,0.0425,-0.9181894087782204,0.057
9,60,1.218487394957983,60,0.4,1.0,1,-0.9215177307159628,0.06,-0.9228693049600502,0.061
11,70,1.3781512605042017,70,0.45,1.0,1,-0.9203917236425694,0.055,-0.9179295407858054,0.06
13,80,1.53781512605042,80,0.4,1.0,1,-0.9170258385535748,0.045,-0.9191530321728278,0.064
15,90,1.6974789915966386,90,0.45,0.75,1,-0.9217353593956232,0.0525,-0.9210751051120922,0.062
