,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
11,0,1.3781512605042017,0,0.45,1.0,1,-0.921127550428048,0.1075,-0.9266113850807768,0.088
8,10,1.138655462184874,10,0.25,1.2,1,-0.9183790299128576,0.105,-0.921419849684913,0.117
10,20,1.2983193277310925,20,0.45,1.0,1,-0.922227717477076,0.1,-0.9234696886255483,0.098
8,30,1.138655462184874,30,0.4,1.0,1,-0.9237754798276478,0.1075,-0.9250983769858476,0.113
10,40,1.2983193277310925,40,0.45,0.75,1,-0.9270861531260486,0.11,-0.9231296762417568,0.127
11,50,1.3781512605042017,50,0.35,1.0,1,-0.9344262867402524,0.1075,-0.9246833369929908,0.126
9,60,1.218487394957983,60,0.45,1.0,1,-0.9235890363477384,0.1075,-0.926004182078479,0.121
9,70,1.218487394957983,70,0.45,1.0,1,-0.9208215124539813,0.1025,-0.9185667980832724,0.094
11,80,1.3781512605042017,80,0.4,1.0,1,-0.9184920620721024,0.0925,-0.922519518603799,0.094
11,90,1.3781512605042017,90,0.45,0.75,1,-0.9280690653376636,0.095,-0.926433588787556,0.106
