,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-44911.31704380207,0.04399999976158142,0.04600000008940697,0.736,0.748,0.003012125,-44542.718731843044,0.0,0.0,0.996,0.996,0.0028445,-44871.82437299784,0.026000000536441803,0.03200000151991844,0.79,0.812,0.002857
2,-44774.06772597064,0.041999999433755875,0.04600000008940697,0.736,0.748,0.003036125,-44405.329355984264,0.0,0.0,0.996,0.996,0.002895541,-44734.56004207277,0.026000000536441803,0.03200000151991844,0.79,0.812,0.003042833
3,-44692.77768634749,0.041999999433755875,0.04600000008940697,0.736,0.748,0.003032,-44324.4489126196,0.0,0.0,0.996,0.996,0.002895208,-44653.31388847033,0.026000000536441803,0.03200000151991844,0.79,0.812,0.002978375
4,-44758.094011744586,0.041999999433755875,0.04600000008940697,0.736,0.748,0.003082708,-44388.88734943892,0.0,0.0,0.996,0.996,0.002813458,-44718.53615401416,0.026000000536441803,0.03200000151991844,0.79,0.812,0.003076542
5,-44752.69534273823,0.041999999433755875,0.04600000008940697,0.736,0.748,0.003001708,-44384.53283444862,0.0,0.0,0.996,0.996,0.002882292,-44713.24935475933,0.026000000536441803,0.03200000151991844,0.79,0.812,0.002993333
6,-44865.15512055584,0.057999998331069946,0.04399999976158142,0.804,0.794,0.002618875,-44707.82691237125,0.0,0.0,0.936,0.948,0.002741917,-44825.82306301294,0.03799999877810478,0.02800000086426735,0.848,0.848,0.002579875
7,-44727.88568512007,0.057999998331069946,0.04399999976158142,0.804,0.794,0.002615625,-44570.491236283284,0.0,0.0,0.936,0.948,0.00274625,-44688.53706945467,0.03799999877810478,0.02800000086426735,0.848,0.848,0.002585
8,-44646.65595033516,0.057999998331069946,0.04600000008940697,0.804,0.794,0.002795792,-44489.44012517639,0.0,0.0,0.936,0.948,0.00267375,-44607.35200332663,0.03799999877810478,0.02800000086426735,0.848,0.848,0.002627833
9,-44711.849342089175,0.057999998331069946,0.04399999976158142,0.804,0.794,0.002601,-44554.25161918044,0.0,0.0,0.936,0.948,0.002574083,-44672.449904949215,0.03799999877810478,0.02800000086426735,0.848,0.848,0.002584542
10,-44706.57022423017,0.057999998331069946,0.04600000008940697,0.804,0.794,0.002792458,-44549.42567072659,0.0,0.0,0.936,0.948,0.0025105,-44667.28408780111,0.03799999877810478,0.02800000086426735,0.848,0.848,0.002578208
11,-44897.108003058216,0.057999998331069946,0.04600000008940697,0.732,0.746,0.002752667,-44661.834820556396,0.00800000037997961,0.0,0.96,0.964,0.002584583,-44831.75435235935,0.029999999329447746,0.02800000086426735,0.822,0.84,0.002626834
12,-44759.84419712973,0.057999998331069946,0.04600000008940697,0.732,0.746,0.002723166,-44524.4703016049,0.00800000037997961,0.0,0.96,0.964,0.002695125,-44694.4625537813,0.029999999329447746,0.02800000086426735,0.822,0.84,0.002787791
13,-44678.57277529977,0.057999998331069946,0.04600000008940697,0.732,0.746,0.002973,-44443.46404129028,0.00800000037997961,0.0,0.96,0.964,0.002826375,-44613.26479401287,0.029999999329447746,0.02800000086426735,0.822,0.84,0.002804834
14,-44743.870788917564,0.057999998331069946,0.04600000008940697,0.732,0.746,0.002787916,-44508.19843747018,0.00800000037997961,0.0,0.96,0.964,0.002666125,-44678.40623946455,0.029999999329447746,0.02800000086426735,0.822,0.84,0.002791375
15,-44738.465536612,0.057999998331069946,0.04600000008940697,0.732,0.746,0.003034583,-44503.46347397785,0.00800000037997961,0.0,0.96,0.964,0.002664333,-44673.18718437022,0.029999999329447746,0.02800000086426735,0.822,0.84,0.0029005
16,-44841.66724493444,0.041999999433755875,0.041999999433755875,0.766,0.79,0.00303825,-44426.54753756346,0.0,0.0,0.992,0.996,0.002922959,-44814.88533224585,0.026000000536441803,0.029999999329447746,0.814,0.82,0.003022834
17,-44704.48188956962,0.041999999433755875,0.041999999433755875,0.766,0.79,0.003052833,-44289.21334013674,0.0,0.0,0.992,0.996,0.002920334,-44677.690381996654,0.026000000536441803,0.03400000184774399,0.814,0.82,0.002845709
18,-44623.249558845775,0.041999999433755875,0.041999999433755875,0.766,0.79,0.002842166,-44208.44904362657,0.0,0.0,0.992,0.996,0.002675875,-44596.48821338948,0.026000000536441803,0.03400000184774399,0.814,0.82,0.00283825
19,-44688.44811813561,0.041999999433755875,0.041999999433755875,0.766,0.79,0.002868208,-44272.65239927648,0.0,0.0,0.992,0.996,0.002906958,-44661.622583873526,0.026000000536441803,0.03400000184774399,0.814,0.82,0.002885
20,-44683.09961122053,0.041999999433755875,0.041999999433755875,0.766,0.79,0.003081917,-44268.44668598142,0.0,0.0,0.992,0.996,0.002921875,-44656.34782294514,0.026000000536441803,0.03400000184774399,0.814,0.82,0.002837333
21,-44900.559453141155,0.07599999755620956,0.04600000008940697,0.68,0.686,0.002567042,-44698.131414625874,0.006000000052154064,0.0,0.932,0.946,0.002381375,-44873.56904495102,0.057999998331069946,0.029999999329447746,0.74,0.748,0.002543291
22,-44763.40691229366,0.07599999755620956,0.04600000008940697,0.68,0.686,0.002497166,-44560.918873226816,0.006000000052154064,0.0,0.932,0.946,0.002381167,-44736.40850455365,0.057999998331069946,0.029999999329447746,0.74,0.748,0.002573916
23,-44682.09388569432,0.07599999755620956,0.04600000008940697,0.68,0.686,0.002702959,-44479.82368765145,0.006000000052154064,0.0,0.932,0.946,0.002518417,-44655.12452343639,0.057999998331069946,0.029999999329447746,0.74,0.748,0.002560584
