,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-44839.04495583898,0.04333333298563957,0.046666666865348816,0.7266666666666667,0.7566666666666667,0.002864667,-44417.701916747785,0.0,0.0,0.9966666666666667,0.9833333333333333,0.002729167,-44784.67811098397,0.02666666731238365,0.029999999329447746,0.79,0.83,0.002826833
2,-44701.829819384046,0.04333333298563957,0.046666666865348816,0.7266666666666667,0.7566666666666667,0.0028585,-44280.32781063555,0.0,0.0,0.9966666666666667,0.9833333333333333,0.002873334,-44647.44246336592,0.02666666731238365,0.029999999329447746,0.79,0.83,0.002836333
3,-44620.6066650636,0.046666666865348816,0.046666666865348816,0.7266666666666667,0.7566666666666667,0.0029105,-44199.57731245976,0.0,0.0,0.9966666666666667,0.9833333333333333,0.002765417,-44566.280292690244,0.02666666731238365,0.029999999329447746,0.79,0.83,0.002856708
4,-44685.772219866136,0.046666666865348816,0.046666666865348816,0.7266666666666667,0.7566666666666667,0.002846792,-44263.72776659514,0.0,0.0,0.9966666666666667,0.9833333333333333,0.002893708,-44631.31487169009,0.02666666731238365,0.029999999329447746,0.79,0.83,0.0028315
5,-44680.507880271674,0.04333333298563957,0.046666666865348816,0.7266666666666667,0.7566666666666667,0.00280975,-44259.66215001505,0.0,0.0,0.9966666666666667,0.9833333333333333,0.002728833,-44626.20520184192,0.02666666731238365,0.029999999329447746,0.79,0.83,0.002843417
6,-44857.470922381086,0.023333333432674408,0.046666666865348816,0.75,0.7533333333333333,0.00266125,-44317.0643101561,0.0,0.0,0.9966666666666667,0.99,0.00267875,-44776.40992440186,0.009999999776482582,0.029999999329447746,0.8733333333333333,0.8433333333333334,0.002622209
7,-44720.21682517549,0.023333333432674408,0.046666666865348816,0.75,0.7533333333333333,0.002660792,-44179.55752522976,0.0,0.0,0.9966666666666667,0.99,0.002624875,-44639.11792722992,0.009999999776482582,0.029999999329447746,0.8733333333333333,0.8433333333333334,0.002603167
8,-44638.992183332244,0.023333333432674408,0.046666666865348816,0.75,0.7533333333333333,0.002837125,-44098.96275850539,0.0,0.0,0.9966666666666667,0.99,0.00286275,-44557.98777158437,0.009999999776482582,0.029999999329447746,0.8733333333333333,0.8433333333333334,0.002687167
9,-44704.180075625096,0.023333333432674408,0.046666666865348816,0.75,0.7533333333333333,0.002673125,-44162.820751549756,0.0,0.0,0.9966666666666667,0.99,0.002611875,-44622.97617544929,0.009999999776482582,0.029999999329447746,0.8733333333333333,0.8433333333333334,0.002632
10,-44698.880543714,0.023333333432674408,0.046666666865348816,0.75,0.7533333333333333,0.002843084,-44159.06909090869,0.0,0.0,0.9966666666666667,0.99,0.002886375,-44617.90883098777,0.009999999776482582,0.029999999329447746,0.8733333333333333,0.8433333333333334,0.002660041
11,-44840.27168401774,0.05000000074505806,0.05000000074505806,0.7433333333333333,0.7866666666666666,0.002857,-44680.012806771876,0.0,0.0,0.9,0.94,0.002869666,-44773.49714863628,0.03333333507180214,0.02666666731238365,0.8166666666666667,0.86,0.002852541
12,-44702.98518838162,0.05000000074505806,0.046666666865348816,0.7433333333333333,0.7866666666666666,0.002858208,-44542.662880864824,0.0,0.0,0.9,0.94,0.002860042,-44636.18422672655,0.03333333507180214,0.029999999329447746,0.8166666666666667,0.86,0.002863292
13,-44621.780255411606,0.05000000074505806,0.05000000074505806,0.7433333333333333,0.7866666666666666,0.002946959,-44461.63578680208,0.0,0.0,0.9,0.94,0.002902917,-44555.05338699269,0.03333333507180214,0.029999999329447746,0.8166666666666667,0.86,0.002878958
14,-44686.92749122292,0.05000000074505806,0.05000000074505806,0.7433333333333333,0.7866666666666666,0.002848917,-44526.40113326646,0.0,0.0,0.9,0.94,0.0028435,-44620.041506056165,0.03333333507180214,0.029999999329447746,0.8166666666666667,0.86,0.002875
15,-44681.70682195077,0.05000000074505806,0.05000000074505806,0.7433333333333333,0.7866666666666666,0.002905125,-44521.640119049734,0.0,0.0,0.9,0.94,0.002862833,-44615.0123599948,0.03333333507180214,0.029999999329447746,0.8166666666666667,0.86,0.00288675
16,-44910.97912369857,0.04333333298563957,0.046666666865348816,0.7333333333333333,0.6833333333333333,0.003176,-44631.37804216554,0.0,0.0,0.99,0.97,0.002856584,-44831.09310328111,0.013333333656191826,0.029999999329447746,0.84,0.8233333333333334,0.002999334
17,-44773.77934708741,0.04333333298563957,0.046666666865348816,0.7333333333333333,0.6833333333333333,0.002931833,-44494.0905163105,0.0,0.0,0.99,0.97,0.00300075,-44693.868239414034,0.013333333656191826,0.029999999329447746,0.84,0.8233333333333334,0.002932958
18,-44692.45927766721,0.04333333298563957,0.046666666865348816,0.7333333333333333,0.6833333333333333,0.002917959,-44413.06947073549,0.0,0.0,0.99,0.97,0.002821875,-44612.63363032434,0.013333333656191826,0.029999999329447746,0.84,0.8233333333333334,0.002749959
19,-44757.84272370137,0.04333333298563957,0.046666666865348816,0.7333333333333333,0.6833333333333333,0.002928625,-44477.80831211325,0.0,0.0,0.99,0.97,0.002789542,-44677.83289862488,0.013333333656191826,0.029999999329447746,0.84,0.8233333333333334,0.002753542
20,-44752.36365051954,0.03999999910593033,0.046666666865348816,0.7333333333333333,0.6833333333333333,0.00289225,-44473.104849053394,0.0,0.0,0.99,0.97,0.002763417,-44672.57543366843,0.013333333656191826,0.029999999329447746,0.84,0.8233333333333334,0.002757875
