,Rho,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.5,-6.412650702699011,-4.253422050884967,11.178988386694785,-8.198547417404631,0.0,[0.336],60.16799201069279,0.0,0.336,"(0,)",-6.316556588233257,12.600567137076343,-4.113540368954179,[0.31],60.620451813661155,0.31
1,0.5512820512820513,-6.122754741540454,-4.275002539205065,10.869850973883436,-8.18931617809167,0.0,[0.315],55.77499934107214,0.0,0.315,"(0,)",-6.036055640098363,12.238398582682022,-4.126450158851336,[0.295],56.497337272632066,0.295
2,0.6025641025641025,-5.830643636160996,-4.286408434822785,10.563764760517307,-7.926224477487207,0.0,[0.297],51.590802051681166,0.0,0.297,"(0,)",-5.7533808423658614,11.881628046871915,-4.130525691439952,[0.2825],52.51222511751367,0.2825
3,0.6538461538461539,-5.537740911048511,-4.291337355307647,10.26324983681019,-7.659625937703929,0.0,[0.281],47.57660323834329,0.0,0.281,"(0,)",-5.469890928906597,11.522229520091479,-4.128559599366889,[0.2675],48.65422096037721,0.2675
4,0.7051282051282051,-5.24192324204058,-4.297010394961115,9.960993058254788,-7.382506072420814,0.0,[0.271],43.62579370024711,0.0,0.271,"(0,)",-5.183412139866765,11.168460483505843,-4.124124381967459,[0.245],45.003412578970924,0.245
5,0.7564102564102564,-4.943459422183493,-4.303012530544357,9.661363329095277,-7.235048849320925,0.0,[0.26],39.789376897883166,0.0,0.26,"(0,)",-4.894243769166738,10.819197310311834,-4.115412601802213,[0.235],41.55459832549673,0.235
6,0.8076923076923077,-4.642746219837143,-4.302977395338413,9.369773987506491,-7.235049156351364,0.0,[0.253],36.05944443735271,0.0,0.253,"(0,)",-4.602836188260481,10.465181899164245,-4.103530302768093,[0.225],38.148024062431446,0.225
7,0.858974358974359,-4.3395995991437735,-4.295410681334519,9.07918763589305,-7.235049890409233,0.0,[0.237],32.44925860342354,0.0,0.237,"(0,)",-4.308914729326881,10.10078121500145,-4.082220745659819,[0.2075],34.88107734808793,0.2075
8,0.9102564102564102,-4.034935914140857,-4.274376113641744,8.801904555530363,-7.23505150945015,0.0,[0.211],29.13191585543959,0.0,0.211,"(0,)",-4.013480889162006,9.74215104063941,-4.052288539504571,[0.2],31.77718621733298,0.2
9,0.9615384615384615,-3.7270497058393772,-4.235740289095296,8.539026929512044,-7.146614844316133,0.0,[0.194],26.145331152554878,0.0,0.194,"(0,)",-3.7148766792194623,9.37904730426512,-4.011819415480164,[0.19],28.82084324466749,0.19
10,1.0128205128205128,-3.4137965810039943,-4.187039540531432,8.286217807339135,-6.8196636357710165,0.0,[0.176],23.35309220424766,0.0,0.176,"(0,)",-3.4109370855371344,9.011470145002685,-3.9659726985054893,[0.1775],25.94850469666692,0.1775
11,1.064102564102564,-3.0967658700611738,-4.145884807059372,8.039891480460337,-6.81966393906462,0.0,[0.161],20.758304781850715,0.0,0.161,"(0,)",-3.103124546760359,3.491948413180694,-3.927671983225533,[0.1575],23.311188021293244,0.1575
12,1.1153846153846154,-2.775828054519535,-4.089912258103809,7.80845827234245,-6.933644504706027,0.0,[0.142],18.436971873847448,0.0,0.142,"(0,)",-2.7914346360233515,3.3744182085806096,-3.869273809825411,[0.1525],20.998276178455082,0.1525
13,1.1666666666666665,-2.449101816518344,-4.026957607485848,3.0802848377872856,-6.994203953780662,-4.7320293608218976e-08,[0.134],16.59545911899536,0.0,0.134,"(0,)",-2.473854822237992,3.2725707827138764,-3.809527179714469,[0.1425],19.01782190619972,0.1425
14,1.217948717948718,-2.1199914620540814,-3.9651288109627014,3.0661302697495936,-6.994204304739117,-4.8192885971848486e-08,[0.124],15.005430523412201,0.0,0.124,"(0,)",-2.1538768667319137,3.292629573658967,-3.754526208570468,[0.135],17.20711436970354,0.135
15,1.2692307692307692,-1.78266760496864,-3.9038729354966817,3.087208513469813,-6.994204640241062,-4.8992609458830606e-08,[0.115],13.533254547258567,0.0,0.115,"(0,)",-1.826299341100177,3.2609677071332595,-3.700191958156755,[0.1275],15.5097129257079,0.1275
16,1.3205128205128205,-1.4198605815884544,-3.8501846804012723,3.1006362429997245,-6.9942031918671725,-2.3969683368593978e-09,[0.107],12.228677425127039,0.0,0.107,"(0,)",-1.4759131307551074,3.249947177434063,-3.6531527144861395,[0.125],13.977356926945056,0.125
17,1.3717948717948718,-1.0517875597415047,-3.7921741740411163,3.0921777330296436,-6.994203401587072,-2.6940379715991504e-09,[0.097],11.014676127959374,0.0,0.097,"(0,)",-1.1193759518015853,3.2048560892812974,-3.6027695341484822,[0.105],12.551372022398315,0.105
