seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
50,0.0001,50,0.1,1,1,-0.8410235752032759,0.915,-0.843252922156283,0.892,0.000459079
50,0.00021544346900318845,50,0.1,1,1,-0.8410235751056654,0.915,-0.8432529220996018,0.892,0.000459079
50,0.00046415888336127773,50,0.1,1,1,-0.8410235750995727,0.915,-0.8432529220554408,0.892,0.000459079
50,0.001,50,0.1,1,1,-0.8410235750649206,0.915,-0.8432529220711377,0.892,0.000459079
50,0.002154434690031882,50,0.1,1,1,-0.8410235750727637,0.915,-0.84325292206987,0.892,0.000459079
50,0.004641588833612777,50,0.1,1,1,-0.8410235750987708,0.91,-0.8432529221018505,0.892,0.000459079
50,0.01,50,0.1,1,1,-0.8410235751711891,0.905,-0.8432529221063412,0.892,0.000459079
50,0.021544346900318822,50,0.1,1,1,-0.841023575141389,0.895,-0.8432529221022973,0.884,0.000459079
50,0.046415888336127774,50,0.1,1,1,-0.8410235750990432,0.89,-0.8432529220829869,0.864,0.000459079
50,0.1,50,0.1,1,1,-0.8410235750990042,0.8,-0.8432529220906406,0.794,0.000459079
50,0.11,50,0.1,1,1,-0.8410235750634522,0.795,-0.8432529220621925,0.78,0.000459079
50,0.14708333333333334,50,0.1,1,1,-0.841023575101511,0.735,-0.8432529220730225,0.722,0.000459079
50,0.18416666666666667,50,0.1,1,1,-0.8410235750949892,0.675,-0.8432529220055727,0.68,0.000459079
50,0.22125,50,0.1,1,1,-0.8400480108131828,0.64,-0.8407624271710314,0.634,0.000459079
50,0.25833333333333336,50,0.1,1,1,-0.8397205028329127,0.575,-0.8399263399273246,0.602,0.000459079
50,0.29541666666666666,50,0.1,1,1,-0.8395423919933311,0.53,-0.8394716449641566,0.566,0.000459079
50,0.3325,50,0.1,1,1,-0.8394265180729673,0.49,-0.8391758332203069,0.532,0.000459079
50,0.3695833333333333,50,0.1,1,1,-0.8393437141952128,0.45,-0.8389644451259278,0.492,0.000459079
50,0.4066666666666667,50,0.1,1,1,-0.8392809850883828,0.41,-0.8388043054880001,0.462,0.000459079
50,0.44375000000000003,50,0.1,1,1,-0.8392314819914382,0.38,-0.8386779301725487,0.416,0.000459079
50,0.48083333333333333,50,0.1,1,1,-0.8391912992457313,0.34,-0.8385753486078118,0.372,0.000459079
50,0.5179166666666667,50,0.1,1,1,-0.8391586374361907,0.32,-0.8384900189138247,0.326,0.000459079
50,0.555,50,0.1,1,1,-0.8391905544521192,0.3,-0.8384090938015434,0.296,0.000459079
50,0.5920833333333334,50,0.1,1,1,-0.8392179187234453,0.275,-0.8383396964070668,0.266,0.000459079
50,0.6291666666666667,50,0.1,1,1,-0.8392417079423197,0.25,-0.8382794413397662,0.236,0.000459079
50,0.66625,50,0.1,1,1,-0.8392625735012943,0.23,-0.8382265765230267,0.198,0.000459079
50,0.7033333333333334,50,0.1,1,1,-0.8394387900253412,0.185,-0.838111578219043,0.172,0.000459079
50,0.7404166666666667,50,0.1,1,1,-0.839647862824246,0.16,-0.8379816040395314,0.144,0.000459079
50,0.7775000000000001,50,0.1,1,1,-0.8397255097623774,0.125,-0.8379110520092911,0.116,0.000459079
50,0.8145833333333333,50,0.1,1,1,-0.8396540624129843,0.08,-0.8377439711848448,0.092,0.000459079
50,0.8516666666666667,50,0.1,1,1,-0.8395782366523475,0.06,-0.8375938498781149,0.072,0.000459079
50,0.88875,50,0.1,1,1,-0.839459938237403,0.045,-0.8375134984669936,0.06,0.000459079
