,target,test_prob,test_obj,0.25_test_obj,0.75_test_obj,mv_prob,mv_obj,0.25_mv_obj,0.75_mv_obj,pre_prob,pre_obj,0.25_pre_obj,0.75_pre_obj,dro_prob,dro_obj,0.25_dro_obj,0.75_dro_obj,nonrob_prob,nonrob_obj,scenario_prob,scenario_obj,0.25_nonrob_obj,0.75_nonrob_obj,0.25_scenario_obj,0.75_scenario_obj,test_avg,0.25_test_avg,0.75_test_avg,test_avg_mv,0.25_test_avg_mv,0.75_test_avg_mv,test_avg_pre,0.25_test_avg_pre,0.75_test_avg_pre,test_avg_dro,0.25_test_avg_dro,0.75_test_avg_dro,test_avg_scene,0.25_test_avg_scene,0.75_test_avg_scene,test_in,test_in_pre,test_in_mv,test_in_scene,test_in_dro
0,0.0,0.014800000000000002,-381.82357838118935,-387.4901754957608,-379.0568250598332,0.012,-367.13457133404586,-371.0747603490099,-362.3667203073332,0.016,-358.18804423861604,-368.30743475854376,-350.9832599910216,0.011200000000000002,-348.54156399312825,-352.75824457211337,-342.6978811804023,1.0,-417.60097027664943,0.45965195975595863,-395.3180789938031,-417.9050893117153,-417.3669479223304,-397.1266036834564,-393.2283526358387,-387.74607362583026,-393.0347933112739,-385.90397751633554,-375.1792814044954,-379.19175775575417,-370.40292996336547,-385.1951024125249,-389.8514624729541,-382.6601928803678,-355.9875037823424,-360.35745133971886,-350.0045000228942,-395.51302309136435,-397.2382950530247,-393.4378332721587,-387.7460734238281,-385.1951022171119,-375.1792811937186,-395.2539101929493,-353.995361184103
0,0.01,0.0246,-387.35777934124616,-391.9410958841078,-383.9733991869407,0.025,-372.6812152760698,-374.71244017083785,-370.6182478864881,0.025599999999999994,-363.1096208356893,-371.41975210038385,-360.6738161156346,0.016400000000000005,-353.8547464569512,-357.01982286996173,-352.0748764883295,1.0,-417.60097027664943,0.45965195975595863,-395.3180789938031,-417.9050893117153,-417.3669479223304,-397.1266036834564,-393.2283526358387,-392.74062689972556,-396.62949119839107,-390.21816427330185,-380.8031065667364,-382.9176026909086,-378.6474859315702,-388.2515848147107,-392.1761807712931,-388.20619457936334,-361.4027528411283,-364.63948731333556,-359.5831183511183,-395.51302309136435,-397.2382950530247,-393.4378332721587,-392.7406266902878,-388.25158464698166,-380.80310636169554,-395.2539101929493,-359.5737996092369
0,0.02,0.0376,-391.0029777754555,-394.4065350261427,-388.5630633190357,0.035199999999999995,-375.9619359913039,-379.26085612641424,-374.56982043836206,0.034800000000000005,-367.1613491179203,-374.5170098968809,-365.310680211571,0.0258,-358.14294043288396,-360.56679690591346,-355.4880765942783,1.0,-417.60097027664943,0.45965195975595863,-395.3180789938031,-417.9050893117153,-417.3669479223304,-397.1266036834564,-393.2283526358387,-396.341749849722,-399.0144347857863,-394.14414646620963,-384.1278891486834,-387.48319006279985,-382.7427075529845,-390.8013461570247,-392.76438613837576,-388.7303502614151,-365.77417177401855,-368.24881489261867,-363.05528485630106,-395.51302309136435,-397.2382950530247,-393.4378332721587,-396.34174967079,-390.8013459944842,-384.1278889053637,-395.2539101929493,-364.07801968303403
0,0.03,0.044,-392.63713514645565,-394.6083353000191,-391.11595430480895,0.0428,-377.7512620898349,-381.27832999618266,-376.8348168382407,0.040799999999999996,-369.3025493481438,-375.4050405963508,-366.1867449141298,0.032,-360.72106431464715,-364.07595717987795,-358.6356334437655,1.0,-417.60097027664943,0.45965195975595863,-395.3180789938031,-417.9050893117153,-417.3669479223304,-397.1266036834564,-393.2283526358387,-397.2168209341793,-399.3091993246937,-395.8084582247982,-385.9410939946404,-389.56046758686927,-385.0264897002941,-392.20298292513,-394.28925795137275,-391.692009319893,-368.4019581547531,-371.8545889347051,-366.2842084847242,-395.51302309136435,-397.2382950530247,-393.4378332721587,-397.21682075868046,-392.20298276966304,-385.941093790578,-395.2539101929493,-366.7841972164772
0,0.05,0.0688,-398.3402040384162,-400.394433421395,-396.92783973318194,0.06600000000000002,-381.8143849395304,-384.63190152245653,-380.53630219351015,0.0626,-373.1852571024898,-380.5985984680478,-371.98632865290705,0.054400000000000004,-366.98141165376137,-369.3655645194639,-365.62241762998974,1.0,-417.60097027664943,0.45965195975595863,-395.3180789938031,-417.9050893117153,-417.3669479223304,-397.1266036834564,-393.2283526358387,-402.29363546553776,-403.7770532092784,-401.39264613700226,-390.06136907286265,-392.95618256841095,-388.7745418719228,-394.6916864496087,-396.7955284828131,-394.2442673245404,-374.78347442408256,-377.2401293340497,-373.43237579924727,-395.51302309136435,-397.2382950530247,-393.4378332721587,-402.2936352749192,-394.69168628389104,-390.0613688679289,-395.2539101929493,-373.3612750654342
0,0.09,0.11300000000000002,-402.97142933681465,-403.4633395373935,-402.2943807341534,0.10640000000000001,-385.6899477505444,-387.97136924634106,-384.35671044909793,0.0986,-378.0417798267007,-383.75745598068454,-375.30228022783473,0.08759999999999998,-373.7644354625876,-375.57077400499236,-372.2689560474154,1.0,-417.60097027664943,0.45965195975595863,-395.3180789938031,-417.9050893117153,-417.3669479223304,-397.1266036834564,-393.2283526358387,-406.1060327464088,-406.7723446356302,-405.22557688871603,-393.99056448234717,-396.2990411179405,-392.66248531516993,-397.7553230857797,-398.8500603349835,-396.61847035089187,-381.6953039827895,-383.5821198352646,-380.17630741998784,-395.51302309136435,-397.2382950530247,-393.4378332721587,-406.10603251406667,-397.75532290618884,-393.9905642747308,-395.2539101929493,-380.47846438382925
0,0.1,0.122,-404.04599811011184,-404.3259675056165,-403.363676957704,0.11520000000000001,-386.704001995219,-388.1980016876449,-386.3473686889711,0.11299999999999999,-379.505745281517,-383.75745598068454,-378.61823187960863,0.1032,-375.96758222201305,-377.64990991403306,-374.6534921948899,1.0,-417.60097027664943,0.45965195975595863,-395.3180789938031,-417.9050893117153,-417.3669479223304,-397.1266036834564,-393.2283526358387,-407.4125730022656,-408.129980372561,-406.8006595236654,-395.01859258279126,-396.55745596524287,-394.67814584750306,-398.6853755759896,-400.2640972256295,-397.943948054641,-383.9454340798889,-385.6688275638114,-382.600492956419,-395.51302309136435,-397.2382950530247,-393.4378332721587,-407.41257280111483,-398.6853754065187,-395.0185923935883,-395.2539101929493,-382.7957612308881
0,0.12,0.1398,-404.9741780044282,-405.6260045040093,-404.37662052591736,0.1296,-387.723771446517,-388.86763331814586,-387.11136567240226,0.14,-381.58142429752377,-386.22886542303837,-378.61823187960863,0.12000000000000002,-377.96215076919987,-379.01421953152095,-376.87450247797454,1.0,-417.60097027664943,0.45965195975595863,-395.3180789938031,-417.9050893117153,-417.3669479223304,-397.1266036834564,-393.2283526358387,-408.0028587309695,-408.6814303797879,-407.32718343832124,-396.0527413457518,-397.25978762216334,-395.4773953006512,-400.0300800082742,-401.27165397003796,-398.4735844073605,-385.9801609377735,-387.0488514043081,-384.8663574818898,-395.51302309136435,-397.2382950530247,-393.4378332721587,-408.0028585152147,-400.0300798345586,-396.0527411391809,-395.2539101929493,-384.89172720558497
0,0.15,0.16319999999999996,-406.8389299012502,-407.61785687789717,-406.4263548649293,0.1572,-389.76220488378397,-390.8721489930104,-389.1090813314303,0.16339999999999996,-383.68653347106664,-386.95188269971896,-381.93418355213834,0.1576,-384.7666291773562,-383.55339966472854,-380.1391075562259,1.0,-417.60097027664943,0.45965195975595863,-395.3180789938031,-417.9050893117153,-417.3669479223304,-397.1266036834564,-393.2283526358387,-409.8716401950326,-410.5805313124903,-409.2891784556615,-398.11891021869656,-399.2903198842607,-397.50146765817,-401.3467990916364,-402.3270224656674,-400.12222381832737,-392.930711192247,-391.65794890407017,-388.27077835074545,-395.51302309136435,-397.2382950530247,-393.4378332721587,-409.8716399780752,-401.3467989250246,-398.118910045593,-395.2539101929493,-392.02380820405216
0,0.18,0.1926,-407.97489408882205,-408.7273324267719,-407.27081995993944,0.1858,-391.36728014611606,-392.87666448761433,-390.5462042792511,0.2004,-385.6987461276257,-389.83726597198483,-384.9907655465555,0.1836,-390.95204393596083,-401.53141398715667,-383.7888609209115,1.0,-417.60097027664943,0.45965195975595863,-395.3180789938031,-417.9050893117153,-417.3669479223304,-397.1266036834564,-393.2283526358387,-410.47662284392584,-411.1271971822769,-409.87431550241723,-399.7455337638548,-401.32085202601695,-398.9511139565001,-402.6842566951123,-403.8141442335593,-401.9811370332167,-399.23971839663943,-409.9892260092511,-391.95875539825806,-395.51302309136435,-397.2382950530247,-393.4378332721587,-410.4766226286644,-402.6842565022703,-399.74553357881354,-395.2539101929493,-398.49472821496863
