,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
17,0,1.5026315789473683,0,0.12,2.0,1.5,-400.515725692575,0.06,-400.49730730858954,0.082,0.011615631,0.265,0.3,-403.78695253461353,-403.6407607299957,-403.64076089564
17,10,1.5026315789473683,10,0.12,2.0,1.5,-401.1152413568744,0.06,-401.2609765984224,0.07,0.013469321,0.17,0.176,-404.23859158436704,-403.8224837496617,-403.8224839804912
17,20,1.5026315789473683,20,0.3,0.5,1.5,-398.25083042023994,0.055,-398.2390509496818,0.038,0.012023146,0.415,0.378,-402.3031645365669,-401.9866406898548,-401.986640960746
20,30,1.8010526315789477,30,0.12,2.0,1.5,-397.322882950308,0.055,-397.24722559772374,0.048,0.0190017,0.305,0.274,-400.7554656346697,-400.74594609738153,-400.7459462877225
19,40,1.701578947368421,40,0.12,2.0,1.5,-400.30916081564754,0.06,-400.28897703826,0.078,0.012855535,0.39,0.416,-403.9240256333555,-404.0432214232059,-404.0432216201124
15,50,1.3036842105263158,50,0.2,0.5,1.5,-394.9608032178171,0.055,-394.9342759909445,0.058,0.011856735,0.155,0.128,-398.4919916863498,-398.530304337566,-398.53030455122865
26,60,2.457142857142857,60,0.2,2.0,1.5,-396.064038230603,0.055,-395.9363735774528,0.064,0.013735066,0.615,0.606,-402.789891869562,-402.5345891560288,-402.5345892965654
17,70,1.5026315789473683,70,0.2,1.0,1.5,-396.80777136325287,0.06,-396.82137777833464,0.082,0.049948776,0.175,0.21,-401.3906382839283,-401.1946476580889,-401.194647862421
18,80,1.6021052631578947,80,0.2,1.0,1.5,-400.16511410788775,0.06,-400.4295855491066,0.082,0.011720977,0.305,0.304,-404.1475602268152,-404.07755059415274,-404.0775507158477
24,90,2.1857142857142855,90,0.2,2.0,1.5,-397.7662982970378,0.06,-397.74688999564614,0.086,0.012337389,0.66,0.65,-402.02615259404047,-402.36020831325544,-402.36020848460305
