,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
16,0,1.4031578947368422,0,0.2,1.0,1.5,-406.3801672698366,0.155,-406.3753335897827,0.142,0.011684281,0.185,0.19,-409.4045218369167,-409.2024837498056,-409.2024840283005
20,10,1.8010526315789477,10,0.2,2.0,1.5,-407.7827497005672,0.155,-407.7997035214808,0.16,0.01354633,0.35,0.336,-411.8875433869725,-411.5746976654029,-411.5746978868375
17,20,1.5026315789473683,20,0.3,1.0,1.5,-405.8072666282999,0.145,-405.77426945917034,0.144,0.012562855,0.285,0.298,-409.76578598247505,-409.3568317521507,-409.35683203978374
16,30,1.4031578947368422,30,0.2,1.0,1.5,-407.2165266817166,0.145,-407.1997330454205,0.158,0.012981651,0.145,0.138,-409.4442367140896,-409.2666271024625,-409.2666272609541
15,40,1.3036842105263158,40,0.3,0.5,1.5,-406.8025362433332,0.15,-406.8077513339627,0.192,0.012951227,0.225,0.232,-409.39984476015184,-409.370476870865,-409.3704771079658
17,50,1.5026315789473683,50,0.2,2.0,1.5,-408.2064322123665,0.155,-408.1887532921083,0.158,0.013313589,0.225,0.256,-410.79818647714353,-410.5888107950975,-410.5888109983923
20,60,1.8010526315789477,60,0.2,2.0,1.5,-406.65162020664974,0.155,-406.579418690369,0.174,0.013735066,0.39,0.346,-410.9711837762056,-410.6496144302585,-410.6496145726533
17,70,1.5026315789473683,70,0.3,1.0,1.5,-404.5400610852889,0.14,-404.5515442027074,0.172,0.016639449,0.235,0.236,-408.54904572444934,-408.24152154825896,-408.2415217810593
17,80,1.5026315789473683,80,0.2,2.0,1.5,-407.3986919153928,0.15,-407.6793178170443,0.18,0.011322711,0.325,0.268,-410.58159804126115,-410.5556920435571,-410.55569225478416
18,90,1.6021052631578947,90,0.2,2.0,1.5,-407.4244660555424,0.145,-407.43347406045575,0.152,0.012337389,0.4,0.384,-409.7851701822666,-409.9096438228928,-409.90964401959513
