,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
17,0,1.5026315789473683,0,0.3,0.5,1.5,-403.4244506240081,0.105,-403.3983781469736,0.112,0.011793896,0.215,0.256,-406.8702905582218,-406.6471903173816,-406.6471905391429
17,10,1.5026315789473683,10,0.15,2.0,1.5,-406.04855249644805,0.095,-406.06421687638,0.128,0.015275367,0.225,0.218,-409.2594840783353,-408.9369509185153,-408.9369510532761
14,20,1.2042105263157896,20,0.15,1.0,1.5,-402.6513406979197,0.105,-402.6426132830315,0.104,0.012193673,0.235,0.226,-405.49038694935706,-405.15897795880727,-405.158978247299
18,30,1.6021052631578947,30,0.2,1.0,1.5,-404.1086472807342,0.11,-404.08669951184703,0.092,0.012981651,0.205,0.198,-406.9021118325014,-406.760134258004,-406.7601344609604
17,40,1.5026315789473683,40,0.12,2.0,1.5,-403.7474086883191,0.095,-403.7285412553676,0.128,0.012855535,0.315,0.312,-406.8778549579744,-406.9222344254904,-406.92223471178033
15,50,1.3036842105263158,50,0.12,2.0,1.5,-404.38373511363847,0.11,-404.34858043917694,0.124,0.0107027,0.14,0.126,-407.8769445511573,-407.9420520505075,-407.9420523516986
22,60,2.0,60,0.2,2.0,1.5,-403.4412192669801,0.11,-403.35210989461416,0.128,0.013735066,0.47,0.442,-408.49374501117546,-408.1926229444163,-408.19262304618184
18,70,1.6021052631578947,70,0.2,2.0,1.5,-402.53776787858334,0.105,-402.5705262064082,0.14,0.016918798,0.27,0.272,-407.2197490945587,-406.97524507907,-406.9752452585988
18,80,1.6021052631578947,80,0.2,2.0,1.5,-405.7022225324816,0.105,-406.0101867823839,0.156,0.011322711,0.37,0.336,-409.23411353094366,-409.2542148577697,-409.254214978022
20,90,1.8010526315789477,90,0.2,2.0,1.5,-404.2511684184642,0.105,-404.2581287049353,0.108,0.012337389,0.495,0.482,-407.1401868217153,-407.33610520118714,-407.33610537569626
