,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
37,0,2.3000000000000003,0,0.08,2.5,1,-0.5028930086751064,0.11,-0.4634595517866302,0.148,0.000399441,0.095,0.098,-0.5307291550423419,-0.5405095970476804,-0.8504186759539085
33,10,1.9,10,0.05,1.0,1,-0.4538023532191457,0.11,-0.4457033473043026,0.136,0.000364361,0.0,0.0,-0.5286893274383432,-0.5454510713966869,-0.8099893784698204
44,20,3.0,20,0.09,1.5,1,-0.4597883470240178,0.1,-0.4370883104086908,0.122,0.000447471,0.01,0.034,-0.4513064023725014,-0.4622090543574864,-0.8061113768019927
82,30,6.800000000000001,30,0.05,1.5,1,-0.3411607156935115,0.095,-0.4002438886926181,0.09,0.000462,0.49,0.454,-0.1150674170963051,-0.1402431131280968,-0.8114895755135756
59,40,4.5,40,0.08,1.5,1,-0.3987744214407265,0.11,-0.3841648441768219,0.114,0.000349451,0.155,0.122,-0.3989776633783258,-0.399906542879225,-0.8055454000281075
56,50,4.2,50,0.15,1.0,1,-0.4522552914364393,0.095,-0.4393508921259039,0.084,0.000334581,0.0,0.002,-0.4917259307176521,-0.4817383655169908,-0.8252441313876998
54,60,4.0,60,0.05,1.5,1,-0.4436404355871881,0.105,-0.4288675981221616,0.128,0.00036444,0.14,0.158,-0.5239349499153519,-0.5130488292703036,-0.8022449937938568
57,70,4.300000000000001,70,0.15,1.0,1,-0.4001819567269496,0.095,-0.4099287570958275,0.08,0.000378601,0.0,0.0,-0.4169020139101882,-0.4308448368909795,-0.8689900034475977
68,80,5.4,80,0.05,1.5,1,-0.4627546187817415,0.11,-0.4872696847712585,0.102,0.0003588,0.335,0.286,-0.270869297921448,-0.3106373014700109,-0.827766484433158
59,90,4.5,90,0.05,2.5,1,-0.4241829089291989,0.11,-0.4215643370256667,0.102,0.000402871,0.24,0.32,-0.4154315721334224,-0.3990994477921144,-0.8264794133243784
