,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
16,0,0.4914285714285714,0,0.09,8.0,4,-0.4863251628767009,0.145,-0.4268736926837882,0.152,0.000364459,0.035,0.058,-0.4753037578662879,-0.4110874606340278,-0.8206505785728611
16,10,0.4914285714285714,10,0.05,10.0,4,-0.3984989894490072,0.15,-0.4550939382815224,0.168,0.00039327,0.055,0.052,-0.2598863711280622,-0.3698299017692606,-0.8373851644369096
17,20,0.555,20,0.1,10.0,4,-0.4792974153818098,0.155,-0.4469894094398664,0.182,0.000503729,0.105,0.06,-0.4792974153818098,-0.4469894094398664,-0.8213566073281595
16,30,0.4914285714285714,30,0.08,10.0,4,-0.4573623072872368,0.14,-0.463562784494262,0.144,0.000458169,0.04,0.042,-0.4290403176548515,-0.443454246452155,-0.8421708233484144
17,40,0.555,40,0.05,10.0,4,-0.4057021716518738,0.155,-0.4396520258091061,0.146,0.000391649,0.105,0.078,-0.3020723010898285,-0.3490911566489161,-0.8132066711808131
17,50,0.555,50,0.12,10.0,4,-0.4577451479107792,0.14,-0.4401119756566194,0.138,0.00033048,0.1,0.128,-0.4773889962275123,-0.4632818359438967,-0.8088873926989656
15,60,0.4278571428571428,60,0.05,8.0,4,-0.5062509661985665,0.145,-0.4837083077469444,0.136,0.00043136,0.035,0.034,-0.4529098051138487,-0.3978111789944954,-0.8188386758249219
17,70,0.555,70,0.12,10.0,4,-0.3877232108592688,0.145,-0.4434897747102846,0.124,0.000463429,0.14,0.138,-0.4231924601380455,-0.471278746867882,-0.8270839856679577
16,80,0.4914285714285714,80,0.05,8.0,4,-0.4705791862207366,0.14,-0.4667428148434941,0.11,0.00044666,0.1,0.09,-0.4217619709845375,-0.3824936285330964,-0.8286795852847929
15,90,0.4278571428571428,90,0.12,8.0,4,-0.4733133183105086,0.14,-0.4148709454695429,0.136,0.000358309,0.01,0.022,-0.4908332578687522,-0.4407574494118499,-0.8208441602682139
