,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
44,0,3.0,0,0.08,2.5,1,-0.4897075135747032,0.06,-0.4598268918856987,0.094,0.000399441,0.16,0.18,-0.4175908065589794,-0.4312613469767578,-0.8493163480552556
63,10,4.9,10,0.05,1.0,1,-0.4451327820397527,0.06,-0.4564930428402259,0.04,0.000364361,0.07,0.076,-0.3028169952126219,-0.3362626704831083,-0.8054780387397532
61,20,4.7,20,0.09,1.5,1,-0.4635331074283663,0.05,-0.4348618142620843,0.074,0.000447471,0.11,0.094,-0.2666512048400913,-0.2856150629413043,-0.8017781113854595
73,30,5.9,30,0.08,1.0,1,-0.3091753251604986,0.045,-0.4150098737704676,0.042,0.000394211,0.03,0.054,-0.2833732682724802,-0.2832246376281929,-0.823928819333025
43,40,2.9000000000000004,40,0.05,1.5,1,-0.3931742371967882,0.045,-0.3869047915987288,0.05,0.000347821,0.015,0.01,-0.3228535072352436,-0.3174811649698942,-0.8279805638866665
59,50,4.5,50,0.05,1.5,1,-0.4284349775987557,0.06,-0.4015914123529713,0.058,0.000385501,0.345,0.36,-0.2996900940924535,-0.273815517591853,-0.8105304801045611
83,60,6.9,60,0.05,1.5,1,-0.4385646000183168,0.06,-0.4294652810733901,0.068,0.00036444,0.31,0.346,-0.382951839343377,-0.3533795952441443,-0.8025446694412094
59,70,4.5,70,0.1,1.0,1,-0.3570613346702245,0.055,-0.3994706855418738,0.048,0.000385831,0.0,0.0,-0.3784619652448852,-0.3910603744298534,-0.8349396750017712
70,80,5.6,80,0.09,1.0,1,-0.4079163106364186,0.06,-0.435922655490466,0.048,0.000362551,0.02,0.022,-0.2391065343622793,-0.2281241945500517,-0.8319039054337355
84,90,7.0,90,0.05,2.5,1,-0.4234161438563599,0.06,-0.430708128646122,0.032,0.000402871,0.45,0.494,-0.1579078613530463,-0.13186528547019,-0.8286465833264643
