,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
15,0,1.6974789915966386,0,0.33,1.0,1,-0.8958353855524726,0.1475,-0.8801085791974748,0.163
30,10,2.8949579831932772,10,0.4,1.0,1,-0.8904761566704715,0.1525,-0.8857256445997241,0.129
23,20,2.3361344537815123,20,0.35,0.5,1,-0.8847462752279881,0.155,-0.8760415353087271,0.172
13,30,1.53781512605042,30,0.35,1.0,1,-0.9032680170986568,0.155,-0.8931949433002475,0.192
16,40,1.7773109243697478,40,0.35,1.2,1,-0.8993612654863296,0.1475,-0.882632476763767,0.177
19,50,2.0168067226890756,50,0.33,1.2,1,-0.8901533665829457,0.1575,-0.8771508501952199,0.183
17,60,1.857142857142857,60,0.25,0.75,1,-0.8848964173899578,0.155,-0.8845899046969831,0.186
12,70,1.4579831932773109,70,0.2,1.0,1,-0.8854037508903062,0.1475,-0.8821491831096332,0.129
42,80,3.852941176470588,80,0.4,0.5,1,-0.8587203919525922,0.1575,-0.873837023027734,0.121
16,90,1.7773109243697478,90,0.35,1.2,1,-0.898717157655821,0.14,-0.8916109880847523,0.154
