,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
33,0,3.134453781512605,0,0.35,1.5,1,-0.8215151532430542,0.15,-0.8616724604650173,0.132
35,10,3.2941176470588234,10,0.33,0.75,1,-0.8695057433850293,0.15,-0.8612023964635191,0.168
48,20,4.331932773109243,20,0.15,1.2,1,-0.8300250200594465,0.14,-0.8496196567077684,0.104
25,30,2.495798319327731,30,0.33,0.75,1,-0.8745804236215621,0.15,-0.8715095135955448,0.152
27,40,2.6554621848739495,40,0.35,1.2,1,-0.8951895976745461,0.15,-0.8585485951385203,0.188
31,50,2.974789915966386,50,0.33,1.0,1,-0.8916603383547264,0.15,-0.8562835003374103,0.188
41,60,3.773109243697479,60,0.2,1.2,1,-0.881379932216888,0.15,-0.8332912296543064,0.172
67,70,5.848739495798319,70,0.1,0.5,1,-0.8659946377876058,0.15,-0.8456042143953401,0.088
44,80,4.012605042016807,80,0.2,1.0,1,-0.8748845772704553,0.14,-0.8399544175822053,0.156
59,90,5.210084033613445,90,0.23,0.75,1,-0.8359018961621567,0.14,-0.8200216000055841,0.192
