,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
38,0,3.533613445378151,0,0.35,0.75,1,-0.8277617088023146,0.11,-0.8495034152445755,0.072
34,10,3.214285714285714,10,0.35,1.0,1,-0.8782038924412763,0.11,-0.8724456338463787,0.164
75,20,6.487394957983192,20,0.33,0.75,1,-0.8465494908400593,0.1,-0.8301071026659336,0.048
49,30,4.411764705882353,30,0.1,1.5,1,-0.8705788231880001,0.11,-0.8271509165282389,0.112
45,40,4.092436974789916,40,0.35,1.0,1,-0.8880410975223171,0.11,-0.8676509342300509,0.112
37,50,3.4537815126050417,50,0.35,1.0,1,-0.902754409206167,0.1,-0.8387260605515819,0.14
35,60,3.2941176470588234,60,0.2,1.2,1,-0.8725876353007067,0.11,-0.8389116877846916,0.188
43,70,3.9327731092436977,70,0.2,0.75,1,-0.862262837122439,0.11,-0.8588714336473611,0.096
3,80,0.7394957983193278,80,0.05,0.5,1,-0.9653037333058246,0.1,-0.8191042674624165,0.16
2,90,0.6596638655462185,90,0.05,0.5,1,-0.8345622862021693,0.1,-0.8080965356628476,0.132
