,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
57,0,5.050420168067227,0,0.3,1.5,1,-0.8317854961042045,0.05,-0.8496580289525023,0.024
49,10,4.411764705882353,10,0.35,1.0,1,-0.8654396657218985,0.06,-0.8641828478903201,0.116
119,20,10.0,20,0.33,0.75,1,-0.8501331492472276,0.05,-0.8274899997927642,0.032
79,30,6.80672268907563,30,0.1,1.5,1,-0.8666133150129738,0.06,-0.8245793623512847,0.072
72,40,6.247899159663865,40,0.35,1.0,1,-0.8778164794938064,0.06,-0.8614978013999344,0.068
45,50,4.092436974789916,50,0.35,1.0,1,-0.8986884472041904,0.06,-0.8344577381003552,0.088
51,60,4.571428571428571,60,0.2,1.2,1,-0.8732486410727455,0.05,-0.837715836572698,0.112
81,70,6.966386554621848,70,0.2,0.75,1,-0.8512730787539244,0.06,-0.8466966965525794,0.024
5,80,0.8991596638655461,80,0.05,0.5,1,-0.943169187682877,0.06,-0.8035987437160368,0.1
6,90,0.9789915966386554,90,0.05,0.5,1,-0.8315461425886274,0.05,-0.801830532629089,0.044
