,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
23,0,0.9364285714285714,0,0.05,8.0,4,-0.6365371199165225,0.045,-0.6357572305795325,0.064,0.002017511,0.0,0.0,-0.5877189508983899,-0.590274260314548,-0.8660300096782028
24,10,1.0,10,0.05,10.0,4,-0.6483723850873675,0.0425,-0.6574769424426261,0.035,0.002095291,0.0,0.0,-0.6148009795453637,-0.6163306259483052,-0.869303968288273
24,20,1.0,20,0.08,8.0,4,-0.6560729329301839,0.0425,-0.6400400020154704,0.041,0.002383862,0.0,0.0,-0.6437014735236137,-0.625944445326017,-0.8708760865689904
23,30,0.9364285714285714,30,0.05,10.0,4,-0.6592359525102476,0.0475,-0.6438332923504226,0.068,0.002123721,0.0,0.0,-0.621568944898074,-0.6089290814648392,-0.8598907507286672
23,40,0.9364285714285714,40,0.05,8.0,4,-0.6449311615484432,0.05,-0.6525651234851673,0.046,0.002317733,0.0,0.0,-0.6051077685015823,-0.6143903659223567,-0.8632625872546092
21,50,0.8092857142857143,50,0.09,10.0,4,-0.6562215379035734,0.0425,-0.649447931813812,0.057,0.002079671,0.0,0.0,-0.6503223629415998,-0.6431025086310606,-0.8650805284106493
21,60,0.8092857142857143,60,0.09,8.0,4,-0.6584141956003,0.0425,-0.6714631757640789,0.031,0.00206817,0.0,0.0,-0.6515570571777317,-0.6658323797586295,-0.8733005222855772
23,70,0.9364285714285714,70,0.1,10.0,4,-0.6626971395994651,0.0475,-0.6386348085253492,0.065,0.002238632,0.0,0.0,-0.6626971395994651,-0.6386348085253492,-0.8614774190709201
24,80,1.0,80,0.08,8.0,4,-0.6403928880403235,0.05,-0.6241250644262867,0.05,0.002219371,0.0,0.0,-0.6266219843581188,-0.6065623726523507,-0.8645552124216085
23,90,0.9364285714285714,90,0.05,10.0,4,-0.6501809691128352,0.045,-0.6599975703466191,0.04,0.002200502,0.0,0.0,-0.620185770311768,-0.6277407532526237,-0.8527144012131823
