,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
80,0,6.6,0,0.05,1.5,4,-0.6441096738102043,0.0,-0.6163468748863893,0.0,0.001967169,0.5375,0.549,-0.5990134843852188,-0.5775912445984286,-0.8467301258807673
71,10,5.700000000000001,10,0.09,1.0,4,-0.6708600039534784,0.0,-0.6492118851432882,0.0,0.002468467,0.4025,0.41,-0.6659739758986406,-0.6432780325871589,-0.8653540538414892
71,20,5.700000000000001,20,0.08,8.0,4,-0.6458359252575173,0.0,-0.615159056105113,0.0,0.002233317,0.7225,0.704,-0.6316340488620792,-0.5988467578159546,-0.865509122637363
21,30,0.8092857142857143,30,0.05,2.5,4,-0.64905691467472,0.0025,-0.6159167817317566,0.001,0.002300008,0.0,0.0,-0.5972898928570463,-0.5659654312134943,-0.8757907398716782
22,40,0.8728571428571429,40,0.05,1.5,4,-0.6572333568273055,0.0,-0.6428312037977619,0.0,0.002581199,0.0,0.0,-0.615430308540479,-0.5982221323811504,-0.8667404710149124
84,50,7.0,50,0.05,2.5,4,-0.6463941829292946,0.0,-0.6281461252138792,0.0,0.002737599,0.6075,0.557,-0.6113448894630553,-0.5791930251149469,-0.8581056461998264
84,60,7.0,60,0.12,1.0,4,-0.6669796257225306,0.0,-0.6615282832484578,0.0,0.002222378,0.29,0.305,-0.6771082282251094,-0.6718548730638131,-0.8722823460353084
39,70,2.5,70,0.05,1.5,4,-0.6827650875654541,0.0,-0.6532915022899664,0.0,0.002220259,0.07,0.081,-0.6534809995627286,-0.6140551393772574,-0.8675531173097434
84,80,7.0,80,0.08,2.5,4,-0.631291684290215,0.0,-0.6312847181452776,0.0,0.002367765,0.5575,0.587,-0.6161166044905902,-0.6156519061924486,-0.8677680480922608
84,90,7.0,90,0.09,1.5,4,-0.6453192778091628,0.0,-0.6473410702997112,0.0,0.002371296,0.1425,0.136,-0.639368315932563,-0.6413018947355135,-0.856975226880651
