,target,test_prob,test_obj,0.25_test_obj,0.75_test_obj,test_prob_o,test_obj_o,0.25_test_obj_o,0.75_test_obj_o,mv_prob,mv_obj,0.25_mv_obj,0.75_mv_obj,pre_prob,pre_obj,0.25_pre_obj,0.75_pre_obj,dro_prob,dro_obj,0.25_dro_obj,0.75_dro_obj,nonrob_prob,nonrob_obj,scenario_prob,scenario_obj,0.25_nonrob_obj,0.75_nonrob_obj,0.25_scenario_obj,0.75_scenario_obj,test_avg,test_avg_o,test_avg_mv,test_avg_pre,test_avg_dro,test_avg_scene,test_in,test_in_o,test_in_pre,test_in_mv,test_in_scene,test_in_dro
0,0.0,0.0,-0.6678367948483079,-0.6705701919789974,-0.6595794967250606,0.0,-0.5807735269180411,-0.5898716955622543,-0.5679524432426563,0.0013999999999999998,-0.6004441802219371,-0.6059331106862048,-0.5915613637062183,0.0014,-0.6717800877449168,-0.6781503483743695,-0.665908592423249,0.004399999999999999,-0.5370935681176696,-0.5459594061652093,-0.522801372802084,0.6110404205500942,0.3446854670386855,0.31641868550689034,-0.49849739656819264,0.3104113060537414,0.3896412743505566,-0.5026034555157655,-0.49269762316261184,-0.837862817507942,-0.8402276551069295,-0.7982911899956455,-0.8177166469273578,-0.8031635378959028,-0.8304071652971716,-0.6689740335537147,-0.5707857949214323,-0.5585932335044267,-0.38666460886893284,-0.7487373428569566,-0.32354402556316597
0,0.01,0.0,-0.6678367948483079,-0.6705701919789974,-0.6595794967250606,0.0014,-0.5196353523512933,-0.5629412510955039,-0.47762329114066004,0.013300000000000001,-0.6046942356942049,-0.6111841350519582,-0.5959079301299147,0.011899999999999999,-0.6747413882936633,-0.679982387222384,-0.6678799885315009,0.014499999999999999,-0.5387933763427797,-0.5486874713380343,-0.5246491254889154,0.6110404205500942,0.3446854670386855,0.31641868550689034,-0.49849739656819264,0.3104113060537414,0.3896412743505566,-0.5026034555157655,-0.49269762316261184,-0.837862817507942,-0.8406891007390064,-0.809720034484459,-0.8263845248455421,-0.8098936759109581,-0.8304071652971716,-0.6689740335537147,-0.5343601246264025,-0.6230648752183328,-0.5384973088025148,-0.7487373428569566,-0.4314849697822927
0,0.02,0.0112,-0.6523412470427689,-0.6578374732483341,-0.643747509341078,0.0014,-0.5196353523512933,-0.5629412510955039,-0.47762329114066004,0.026500000000000003,-0.6057113649612128,-0.6115896429265912,-0.5982332963062854,0.0224,-0.6755521736131344,-0.6805059988646712,-0.6685466781319727,0.0256,-0.539076839806908,-0.5507034154888026,-0.5244992262764735,0.6110404205500942,0.3446854670386855,0.31641868550689034,-0.49849739656819264,0.3104113060537414,0.3896412743505566,-0.5026034555157655,-0.49269762316261184,-0.8609116230396939,-0.8406891007390064,-0.815226690626823,-0.8306072965371166,-0.8172966630728119,-0.8304071652971716,-0.6341090740790076,-0.5343601246264025,-0.6473662021798734,-0.579794563172708,-0.7487373428569566,-0.5048884394922221
0,0.03,0.0215,-0.6523593463095796,-0.6586097985438324,-0.6420877525772265,0.0014,-0.5196353523512933,-0.5629412510955039,-0.47762329114066004,0.034699999999999995,-0.6059112867746601,-0.6107917271392789,-0.5998626382440829,0.0345,-0.6759910308331281,-0.680413699526878,-0.669206991084047,0.03640000000000001,-0.5385975638753315,-0.5509748510590377,-0.5240193698343028,0.6110404205500942,0.3446854670386855,0.31641868550689034,-0.49849739656819264,0.3104113060537414,0.3896412743505566,-0.5026034555157655,-0.49269762316261184,-0.8616683526237419,-0.8406891007390064,-0.8183862381136284,-0.8339297048776082,-0.8222239732568598,-0.8304071652971716,-0.6270640349064136,-0.5343601246264025,-0.6641650960188112,-0.599935798784847,-0.7487373428569566,-0.5382653346722077
0,0.05,0.0497,-0.6473341141749366,-0.6562489877032613,-0.6389861068978795,0.0014,-0.5196353523512933,-0.5629412510955039,-0.47762329114066004,0.051000000000000004,-0.6057960727314189,-0.6105186861186209,-0.6012521596443478,0.054000000000000006,-0.6760178446284152,-0.6799867087378446,-0.6694010484180501,0.0583,-0.5364104236521805,-0.5494292559251278,-0.5212458496961997,0.6110404205500942,0.3446854670386855,0.31641868550689034,-0.49849739656819264,0.3104113060537414,0.3896412743505566,-0.5026034555157655,-0.49269762316261184,-0.8646491485920681,-0.8406891007390064,-0.8239095097084543,-0.8388351577472821,-0.8306404239665565,-0.8304071652971716,-0.6237741601796081,-0.5343601246264025,-0.6867024445537048,-0.6283641588611804,-0.7487373428569566,-0.5836089199274973
0,0.08,0.0784,-0.6433716777045589,-0.6529211984269544,-0.6359165945099676,0.0014,-0.5196353523512933,-0.5629412510955039,-0.47762329114066004,0.07929999999999998,-0.6042595489508593,-0.6097116027575868,-0.6005706462147069,0.08419999999999998,-0.6752126923216464,-0.6801733630610998,-0.6676125204407729,0.07949999999999999,-0.5346399621812313,-0.5476184770495105,-0.5182288116302718,0.6110404205500942,0.3446854670386855,0.31641868550689034,-0.49849739656819264,0.3104113060537414,0.3896412743505566,-0.5026034555157655,-0.49269762316261184,-0.8655962268525516,-0.8406891007390064,-0.8315290673730361,-0.8448801822564473,-0.8364911280053503,-0.8304071652971716,-0.617320666766165,-0.5343601246264025,-0.7109830056142139,-0.6613818010201694,-0.7487373428569566,-0.6162567687997835
0,0.1,0.09419999999999999,-0.6404983346491274,-0.6456449205057748,-0.6344607282901888,0.0014,-0.5196353523512933,-0.5629412510955039,-0.47762329114066004,0.1061,-0.6023976940714313,-0.6085800618901792,-0.5988591755649881,0.10600000000000001,-0.6740096635239164,-0.6800876680625441,-0.665831005053282,0.09899999999999999,-0.5329311969018089,-0.5453228046561953,-0.5162574274676069,0.6110404205500942,0.3446854670386855,0.31641868550689034,-0.49849739656819264,0.3104113060537414,0.3896412743505566,-0.5026034555157655,-0.49269762316261184,-0.8665722194430625,-0.8406891007390064,-0.8368783640500054,-0.848422891766192,-0.8404408626244704,-0.8304071652971716,-0.6160108293640818,-0.5343601246264025,-0.7240624423596015,-0.6820468239117783,-0.7487373428569566,-0.6407186263163134
0,0.12,0.1135,-0.6397697719473265,-0.6501003517562278,-0.6291611329946962,0.0014,-0.5196353523512933,-0.5629412510955039,-0.47762329114066004,0.1255,-0.6003361712228891,-0.6075233588736478,-0.5967714690144141,0.12149999999999998,-0.6728287661124497,-0.6794744182925425,-0.66466312902108,0.11359999999999999,-0.5311872686656824,-0.5436642305903814,-0.5138531080178417,0.6110404205500942,0.3446854670386855,0.31641868550689034,-0.49849739656819264,0.3104113060537414,0.3896412743505566,-0.5026034555157655,-0.49269762316261184,-0.8670149652657916,-0.8406891007390064,-0.8403476066670589,-0.8508957953623094,-0.843388221221405,-0.8304071652971716,-0.6167440189522022,-0.5343601246264025,-0.7330323408203235,-0.6959634526627986,-0.7487373428569566,-0.6573333040501229
0,0.15,0.14370000000000002,-0.6331106377199527,-0.6466555727852388,-0.6265942522437921,0.0014,-0.5196353523512933,-0.5629412510955039,-0.47762329114066004,0.1573,-0.5969715856923579,-0.6056417886203509,-0.5945851070386701,0.145,-0.6704440276934747,-0.6782728701614547,-0.6627774533808662,0.1447,-0.5264803669840777,-0.5372680498955064,-0.5065437767431487,0.6110404205500942,0.3446854670386855,0.31641868550689034,-0.49849739656819264,0.3104113060537414,0.3896412743505566,-0.5026034555157655,-0.49269762316261184,-0.867873752856395,-0.8406891007390064,-0.8449721096923255,-0.8544595018323194,-0.849290707930931,-0.8304071652971716,-0.6096222259114883,-0.5343601246264025,-0.7455389037146409,-0.7148713586307656,-0.7487373428569566,-0.6847410376652435
0,0.18,0.16970000000000002,-0.6269706839379539,-0.6305422620070376,-0.624266885018212,0.0014,-0.5196353523512933,-0.5629412510955039,-0.47762329114066004,0.1826,-0.5925923583270409,-0.6003110672994671,-0.5907862607539358,0.1759,-0.6666990354803849,-0.6749917225826927,-0.6591144194530419,0.1713,-0.5221381265077142,-0.5323517673496814,-0.5017978057074328,0.6110404205500942,0.3446854670386855,0.31641868550689034,-0.49849739656819264,0.3104113060537414,0.3896412743505566,-0.5026034555157655,-0.49269762316261184,-0.8694474406434068,-0.8406891007390064,-0.8493369161750138,-0.8582319036494427,-0.8536379313315348,-0.8304071652971716,-0.6094037898168124,-0.5343601246264025,-0.759417834922506,-0.7296012966975329,-0.7487373428569566,-0.7023468136542805
