,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
29,0,1.5,0,0.1,1.0,1,-0.5591990906533069,0.15,-0.5088313338064953,0.171,0.001894022,0.0,0.0,-0.664209506312125,-0.6626255819334067,-0.8777893859283312
50,10,3.6,10,0.1,2.5,1,-0.5784021198811874,0.145,-0.5569103515360121,0.156,0.002241324,0.0,0.0,-0.634054878962246,-0.631947652691209,-0.8598740782994965
47,20,3.3000000000000003,20,0.05,3.0,1,-0.561439194942123,0.155,-0.5408261931996179,0.17,0.002081894,0.0,0.0,-0.6073698004620997,-0.6020459116114831,-0.8562175149325841
55,30,4.1,30,0.05,5.0,1,-0.527957992408864,0.155,-0.4904796795544828,0.159,0.002372006,0.0,0.0,-0.5284323150111182,-0.5034826029036903,-0.8497721704385717
48,40,3.4000000000000004,40,0.05,3.0,1,-0.5151139832801068,0.155,-0.5143058442838031,0.181,0.002357966,0.0,0.0,-0.543567763758837,-0.5652125551358801,-0.8515304208557238
49,50,3.5000000000000004,50,0.05,3.0,1,-0.5272536674755606,0.1525,-0.5484750658157989,0.166,0.002392815,0.0,0.0,-0.5914959580526208,-0.601882185093618,-0.8542054649695414
48,60,3.4000000000000004,60,0.05,3.0,1,-0.5499691018648505,0.1475,-0.5102120364875296,0.164,0.002248914,0.0,0.0,-0.5351191806040682,-0.5310821897026148,-0.8273752552683611
35,70,2.1,70,0.1,1.5,1,-0.5236036277210461,0.1525,-0.5136484592737472,0.133,0.002406375,0.0,0.0,-0.598949414963808,-0.6016431772687063,-0.8570644306605072
40,80,2.6,80,0.08,2.5,1,-0.5188856871924877,0.1525,-0.5119023574506596,0.153,0.002735998,0.0,0.0,-0.6026936455683221,-0.610319845695862,-0.8410921456103343
40,90,2.6,90,0.05,3.0,1,-0.5720277425637904,0.155,-0.5664992620070076,0.202,0.003934035,0.0,0.0,-0.6414481935309349,-0.6446265389618246,-0.8630935872672362
