seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,nonrob_prob,nonrob_obj,scenario_probs,scenario_obj
70,0.5,70,0.2,0.5,1,-0.8750055143047338,0.7775,-0.8811844498360556,0.778,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,0.5423728813559322,70,0.2,0.5,1,-0.8734145286124292,0.7925,-0.8788108904019859,0.791,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,0.5847457627118644,70,0.2,0.5,1,-0.8721341238875203,0.7975,-0.8772457604610244,0.793,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,0.6271186440677966,70,0.2,0.5,1,-0.8711900679118808,0.805,-0.8761032620964795,0.798,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,0.6694915254237288,70,0.2,0.5,1,-0.8704880665609959,0.8075,-0.8749624452401481,0.804,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,0.711864406779661,70,0.2,0.5,1,-0.8699875296727587,0.795,-0.8738797624183375,0.788,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,0.7542372881355932,70,0.2,0.5,1,-0.8695536319537485,0.775,-0.873154079088943,0.758,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,0.7966101694915254,70,0.2,0.5,1,-0.8691466861434951,0.7225,-0.8726219309064184,0.73,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,0.8389830508474576,70,0.2,0.5,1,-0.8687259156877595,0.655,-0.8721733112065881,0.684,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,0.8813559322033898,70,0.2,0.5,1,-0.8683482511038888,0.5825,-0.8717967186741881,0.624,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,0.923728813559322,70,0.2,0.5,1,-0.8679879668658671,0.5,-0.8714650131480897,0.537,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,0.9661016949152542,70,0.2,0.5,1,-0.8675457889958115,0.36,-0.8711256943289327,0.367,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.0084745762711864,70,0.2,0.5,1,-0.8671745858584963,0.1925,-0.8708378959635847,0.204,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.0508474576271185,70,0.2,0.5,1,-0.86684703476574,0.13,-0.8705786208097455,0.151,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.0932203389830508,70,0.2,0.5,1,-0.8664847090508181,0.11,-0.8703042038894291,0.132,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.1355932203389831,70,0.2,0.5,1,-0.8661231268630093,0.0975,-0.870029041554644,0.105,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.1779661016949152,70,0.2,0.5,1,-0.8657329372396495,0.0825,-0.8697596892428678,0.093,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.2203389830508473,70,0.2,0.5,1,-0.8652588459561759,0.075,-0.8694706103650179,0.082,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.2627118644067796,70,0.2,0.5,1,-0.8648349393146658,0.07,-0.8692055562828271,0.072,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.305084745762712,70,0.2,0.5,1,-0.864415584356347,0.0625,-0.8689242319414331,0.065,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.347457627118644,70,0.2,0.5,1,-0.8640072392840763,0.065,-0.8686206527210607,0.063,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.3898305084745761,70,0.2,0.5,1,-0.863627207522669,0.0625,-0.8683257263143698,0.056,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.4322033898305084,70,0.2,0.5,1,-0.8632467309767072,0.0625,-0.8680386387631149,0.052,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.4745762711864407,70,0.2,0.5,1,-0.8628758011772423,0.0625,-0.8677483080425075,0.053,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.5169491525423728,70,0.2,0.5,1,-0.8624903976299433,0.0575,-0.8673922107249737,0.05,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.559322033898305,70,0.2,0.5,1,-0.8620917477686575,0.0525,-0.8670073341668263,0.05,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.6016949152542372,70,0.2,0.5,1,-0.8616182964578158,0.05,-0.8665457657068892,0.047,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.6440677966101696,70,0.2,0.5,1,-0.8611434641933434,0.0475,-0.8660998142536972,0.044,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.6864406779661016,70,0.2,0.5,1,-0.8607082373884742,0.0425,-0.8656881871715273,0.04,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.7288135593220337,70,0.2,0.5,1,-0.8602956977153969,0.0375,-0.8652711147581171,0.039,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.771186440677966,70,0.2,0.5,1,-0.8598991514491865,0.0375,-0.8648565497278247,0.038,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.8135593220338984,70,0.2,0.5,1,-0.8595123354802005,0.0375,-0.8644448113814874,0.035,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.8559322033898304,70,0.2,0.5,1,-0.8591455488782691,0.0375,-0.8640626068285712,0.034,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.8983050847457625,70,0.2,0.5,1,-0.85876525472186,0.0375,-0.86369051601434,0.034,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.9406779661016949,70,0.2,0.5,1,-0.8583756785943182,0.0375,-0.8633088293302641,0.033,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,1.9830508474576272,70,0.2,0.5,1,-0.8579719126710275,0.03,-0.8629295568455627,0.033,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.0254237288135593,70,0.2,0.5,1,-0.8575834262428755,0.025,-0.8625752426376735,0.031,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.0677966101694913,70,0.2,0.5,1,-0.8572230783582943,0.0225,-0.8622458909852181,0.029,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.110169491525424,70,0.2,0.5,1,-0.8568872064183872,0.0225,-0.8619383254732934,0.027,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.152542372881356,70,0.2,0.5,1,-0.8565500514879133,0.0225,-0.8616222585262294,0.026,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.194915254237288,70,0.2,0.5,1,-0.856215530971439,0.02,-0.8613058381854285,0.023,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.23728813559322,70,0.2,0.5,1,-0.8558957225008866,0.02,-0.8610042584250346,0.02,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.2796610169491522,70,0.2,0.5,1,-0.8555761368991155,0.0175,-0.8607071847980603,0.019,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
70,2.3220338983050848,70,0.2,0.5,1,-0.8552258675784021,0.015,-0.8604011737242095,0.017,0.6342935136424497,-0.8658795214868771,0.2697828637606111,-0.8141905493981942
