,mean_eta,mean_init_rho,mean_valid_obj,mean_valid_prob,mean_test_obj,mean_test_prob,0.25_eta,0.25_init_rho,0.25_valid_obj,0.25_valid_prob,0.25_test_obj,0.25_test_prob,0.75_eta,0.75_init_rho,0.75_valid_obj,0.75_valid_prob,0.75_test_obj,0.75_test_prob
0,0.01,1.0,-0.784722474595554,0.02797916666666667,-0.7796196915304879,0.026919166666666664,0.01,1.0,-0.8308849478807522,0.0,-0.8242345967763299,0.0,0.01,1.0,-0.7361076853935287,0.0,-0.7094288133340131,0.0
1,0.05,1.0,-0.7998884027539707,0.032820833333333334,-0.8015076406516157,0.0279975,0.05,1.0,-0.8112907023903229,0.01,-0.8199499256078718,0.006,0.05,1.0,-0.7805784082707582,0.0325,-0.7883005041555046,0.028
2,0.1,1.0,-0.8357403303591352,0.05843958333333333,-0.8377627480833096,0.05582083333333333,0.1,1.0,-0.8494708428181076,0.0125,-0.8474852014768033,0.013,0.1,1.0,-0.8182444068289465,0.075,-0.8242638700380556,0.073
3,0.15,1.0,-0.8449173368676226,0.08183333333333334,-0.8458049433172109,0.08335333333333333,0.15,1.0,-0.8530549717913847,0.0275,-0.8492641684500276,0.027,0.15,1.0,-0.8368067399459833,0.105625,-0.8414580386056055,0.11125
4,0.18,1.0,-0.8461311220671573,0.08547916666666668,-0.8468748871019609,0.08351666666666667,0.18,1.0,-0.8542017596650904,0.0225,-0.8521202653536174,0.019,0.18,1.0,-0.8410223421846068,0.11,-0.842935270914871,0.114
5,0.2,1.0,-0.8478937107809975,0.09174166666666667,-0.8476512609354361,0.08983166666666667,0.2,1.0,-0.8555193606337466,0.0225,-0.8519756891824546,0.018,0.2,1.0,-0.8400863701481204,0.1225,-0.8430048038481845,0.123
6,0.23,1.0,-0.8510441128025534,0.09569166666666666,-0.8506998340624871,0.09465333333333334,0.23,1.0,-0.8618670481654654,0.02,-0.8553651695681634,0.024,0.23,1.0,-0.8444360696599902,0.1325,-0.8449453143558652,0.12725
7,0.25,1.0,-0.8511228482217891,0.09229375,-0.8504733781084065,0.08986,0.25,1.0,-0.8596266067779896,0.02,-0.8568706979240103,0.022,0.25,1.0,-0.8400868443516916,0.1225,-0.8434878857837947,0.119
8,0.3,1.0,-0.8549340653196202,0.09931875,-0.8530754597459261,0.09902333333333334,0.3,1.0,-0.8610397266659593,0.025,-0.8573654419375923,0.023,0.3,1.0,-0.8514605343705113,0.135,-0.8475766270401643,0.14
